indice
Zr
Nb
Mo
Ti
Cr
ZrNb
ZrMo
ZrTi
ZrCr
NbMo
NbTi
NbCr
MoTi
MoCr
TiCr
ZrNb(Zr-Nb)
ZrMo(Zr-Mo)
ZrTi(Zr-Ti)
ZrCr(Zr-Cr)
NbMo(Nb-Mo)
NbTi(Nb-Ti)
NbCr(Nb-Cr)
MoTi(Mo-Ti)
MoCr(Mo-Cr)
TiCr(Ti-Cr)
ZrNbMoTi
ZrNbMoCr
ZrNbTiCr
ZrMoTiCr
NbMoTiCr
Zr² NbMo
Zr² NbTi
Zr² NbCr
Zr² MoTi
Zr² MoCr
Zr² TiCr
ZrNb² Mo
ZrNb² Ti
ZrNb² Cr
ZrNbMo² 
ZrNbTi² 
ZrNbCr² 
ZrMo² Ti
ZrMo² Cr
ZrMoTi² 
ZrMoCr² 
ZrTi² Cr
ZrTiCr² 
Nb² MoTi
Nb² MoCr
Nb² TiCr
NbMo² Ti
NbMo² Cr
NbMoTi² 
NbMoCr² 
NbTi² Cr
NbTiCr² 
Mo² TiCr
MoTi² Cr
MoTiCr² 
ZrNb(Zr-Nb)² 
ZrMo(Zr-Mo)² 
ZrTi(Zr-Ti)² 
ZrCr(Zr-Cr)² 
NbMo(Nb-Mo)² 
NbTi(Nb-Ti)² 
NbCr(Nb-Cr)² 
MoTi(Mo-Ti)² 
MoCr(Mo-Cr)^² 
TiCr(Ti-Cr)^²  
