B,ABD,AD,ACDE,CE,BCE,ABCDE
E,ABE,AB,ABCD,CD,CDE,ABCDE
D,ACD,AC,ABCE,BE,BDE,ABCDE
C,ACE,AE,ABDE,BD,BCD,ABCDE
A,ABC,BC,BCDE,DE,ADE,ABCDE
