,Sample,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa,H_GPa,stdE (GPa),stdH (GPa),CI,IQ,XRD
compo_127,grad11-Nb mesure 10,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,132.17895288214294,4.825682794167664,3.7807985789858902,0.28209205975228097,0.0386345,47817.27,1.0
compo_128,grad11-Nb mesure 11,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,133.27300306667286,5.255662512077434,4.40658956842925,0.22975473934119445,0.04298507,47956.25,1.0
compo_129,grad11-Nb mesure 12,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,135.5713263580507,5.4625487573520095,3.255655125804034,0.12150838138138652,0.03195407,47261.18,1.0
compo_130,grad11-TiZr mesure 1,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,132.78243848320662,5.388610014253356,6.741749101178437,0.2532089781753506,0.02917875,46918.46,1.0
compo_131,grad11-TiZr mesure 2,18.81,47.7,0.0,33.49,0.0,22.14,57.17,0.0,20.7,0.0,129.41798159513883,5.639778306829646,2.377152757349319,0.0004262086918216969,0.0260959,46530.32,1.0
compo_132,grad11-TiZr mesure 3,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,130.1316317839199,5.721708133251943,2.4674639534600575,0.3033114226719959,0.02428299,46390.33,1.0
compo_133,grad11-TiZr mesure 4,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,133.9234877131339,5.765980795876186,3.6646108350761146,0.2528432869161414,0.02631919,46854.46,1.0
compo_134,grad11-TiZr mesure 5,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,125.41745854999465,5.504519344018853,2.3046248757776593,0.13302158314658818,0.02202883,46386.48,1.0
compo_135,grad11-TiZr mesure 6,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,123.07908414885469,5.624023883119338,6.4166650723480485,0.4904146047615977,0.0212451,46088.73,1.0
compo_136,grad11-TiZr mesure 7,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,120.3844784125085,5.754650485923373,5.643556285800613,0.49339708956953493,0.0147478,35343.68,0
compo_137,grad11-TiZr mesure 8,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,111.73872660762217,5.490846702074919,5.478577223636654,0.3146460215978333,0.0147478,35343.68,0
compo_138,grad11-TiZr mesure 9,24.54,22.13,0.0,53.33,0.0,32.69,30.01,0.0,37.3,0.0,109.68662514287206,5.434994114732372,4.234014741232457,0.22649730423967324,0.0147478,35343.68,0
compo_139,grad11-TiZr mesure 10,25.42,18.77,0.0,55.81,0.0,34.42,25.89,0.0,39.68,0.0,106.79094349415621,5.374094133011823,2.681104890063168,0.050534294814388404,0.0147478,35343.68,0
compo_140,grad11-TiZr mesure 11,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,110.02996287410213,5.891911490383867,1.7970037360639097,0.2810783506335425,0.0147478,35343.68,0
compo_141,grad11-TiZr mesure 12,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,109.49727317395941,6.131319829591023,2.5041591436952277,0.16171958295862332,0.0147478,35343.68,0
compo_142,grad12-Nb mesure 1,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,146.87578162524926,6.738571285811088,2.50569284507304,0.06287616480723354,0.02590686,44072.68,1.0
compo_143,grad12-Nb mesure 2,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,147.87278366094418,7.255875311368614,2.5289474478945717,0.12559848806862162,0.03223519,44336.83,1.0
compo_144,grad12-Nb mesure 3,5.72,73.88,9.95,3.05,7.39,5.88,77.37,10.76,1.65,4.33,150.37905035195013,7.10415629114491,3.6482496493604875,0.32758904452961035,0.06609693,46608.48,1.0
compo_145,grad12-Nb mesure 4,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,157.303957122224,7.436865045101565,1.1932333151912542,0.27202562344230935,0.06420066,46576.17,1.0
compo_146,grad12-Nb mesure 5,6.53,67.37,11.61,4.05,10.44,6.84,71.9,12.79,2.23,6.23,163.69513491188417,7.8526337699304065,6.749601659714411,0.0953478157653781,0.05419054,45458.03,1.0
compo_147,grad12-Nb mesure 6,6.95,63.0,12.82,5.03,12.2,7.38,68.12,14.32,2.8,7.38,168.26349243266765,8.656401475976114,1.0979405889885132,0.2999934517410372,0.05163688,45197.84,1.0
compo_148,grad12-Nb mesure 7,7.21,59.27,13.6,6.4,13.54,7.75,64.95,15.39,3.61,8.3,161.72719805742776,8.895033815870578,12.009113905258891,0.11861477216525443,0.04190337,44270.29,1.0
compo_149,grad12-Nb mesure 8,7.7,55.17,14.35,7.73,15.05,8.41,61.32,16.47,4.43,9.36,169.62036911217552,9.098135338462479,8.639121519298756,0.458669448122002,0.04477604,45044.02,1.0
compo_150,grad12-Nb mesure 9,8.31,51.55,14.86,8.81,16.47,9.19,58.04,17.28,5.11,10.38,169.7769915511477,9.402847282796756,0.7767110431338636,0.36749607670823115,0.09539693,47639.16,1.0
compo_151,grad12-Nb mesure 10,8.93,47.55,15.47,10.23,17.82,10.02,54.31,18.25,6.03,11.39,176.8074743580293,10.112370859867674,14.1294295553816,1.1305118609732765,0.1465434,50261.41,1.0
compo_152,grad12-Nb mesure 11,9.28,43.24,16.21,11.72,19.56,10.59,50.23,19.45,7.02,12.72,170.9735132280873,9.59304258221096,15.226000696245233,1.072637189169883,0.1371491,49809.27,1.0
compo_153,grad12-Nb mesure 12,9.5,39.78,16.77,12.78,21.17,10.99,46.88,20.41,7.76,13.96,178.24782222381987,10.935317957466117,40.26737463323406,0.48198853447132184,0.1281994,48213.38,1.0
compo_154,grad12-Nb mesure 13,9.69,35.6,17.11,14.07,23.53,11.43,42.79,21.23,8.72,15.83,147.42670817725195,10.88571151568149,1.4562946398690453,0.10545266146850492,0.01921754,40795.52,0.0
compo_155,grad12-TiZrCrMo mesure 1,9.93,33.59,17.22,14.73,24.53,11.83,40.74,21.56,9.21,16.65,145.28367943644128,10.650248979169636,6.321073164178235,0.5752220763678128,0.01914915,41566.52,0.0
compo_156,grad12-TiZrCrMo mesure 2,10.33,30.54,17.85,15.45,25.84,12.44,37.45,22.61,9.77,17.73,149.1503122215011,10.942096743082814,3.6179157789526357,0.19195139850729712,0.0147478,35343.68,0
compo_157,grad12-TiZrCrMo mesure 3,10.79,27.62,18.36,16.14,27.1,13.14,34.25,23.5,10.31,18.8,148.91446941736262,11.167160555442743,1.945751521284852,0.061764045564055896,0.0147478,35343.68,0
compo_158,grad12-TiZrCrMo mesure 4,10.97,24.8,18.86,17.19,28.18,13.52,31.12,24.45,11.12,19.79,148.85858893209186,11.2703073028451,3.2878319517114662,0.10974532480823891,0.0147478,35343.68,0
compo_159,grad12-TiZrCrMo mesure 5,11.26,22.12,19.12,18.1,29.4,14.05,28.1,25.09,11.86,20.91,146.66369214340105,11.350746117511054,3.692268435037113,0.20008849005393695,0.0147478,35343.68,0
compo_160,grad12-TiZrCrMo mesure 6,11.74,19.41,19.53,18.76,30.56,14.8,24.92,25.9,12.42,21.96,149.25403203311646,11.443868236375899,1.4168423194254693,0.06347281146423286,0.0147478,35343.68,0
compo_161,grad12-TiZrCrMo mesure 7,12.04,16.61,20.08,19.73,31.53,15.36,21.58,26.93,13.21,22.92,147.85428409721595,11.572627350402971,2.100302358251859,0.09340723847510483,0.0147478,35343.68,0
compo_162,grad12-TiZrCrMo mesure 8,12.48,14.48,20.33,20.21,32.5,16.05,18.97,27.5,13.65,23.82,147.85416855847114,11.576747427529188,0.364715717167496,0.14256890127513971,0.0147478,35343.68,0
compo_163,grad12-TiZrCrMo mesure 9,12.9,12.08,20.79,20.98,33.25,16.75,15.97,28.38,14.3,24.6,150.13055817842388,11.63441440806287,5.329547876903221,0.21936810493999956,0.0147478,35343.68,0
compo_164,grad12-TiZrCrMo mesure 10,13.41,9.67,21.02,21.83,34.07,17.58,12.92,29.0,15.03,25.47,147.15426970130676,11.76223868967493,0.88475577056246,0.09595062672880589,0.0147478,35343.68,0
compo_165,grad12-TiZrCrMo mesure 11,13.86,8.02,21.44,22.18,34.49,18.26,10.77,29.72,15.35,25.9,148.18117743839818,11.640220671098335,2.060635103964021,0.1657228211742283,0.0147478,35343.68,0
compo_166,grad12-TiZrCrMo mesure 12,14.26,6.7,21.86,21.94,35.25,18.84,9.01,30.37,15.22,26.55,144.1056011564197,11.674051175295347,1.5711794462127886,0.09007315712985202,0.0147478,35343.68,0
compo_167,grad13-Nb mesure 1,0.0,83.09,12.81,4.1,0.0,0.0,84.41,13.44,2.15,0.0,150.98569489528623,4.6694886044674435,3.9225300172327398,0.20072987476048887,0.2913553,57980.77,1.0
compo_168,grad13-Nb mesure 2,0.0,83.98,15.2,0.82,0.0,0.0,83.89,15.68,0.42,0.0,157.2814102225178,4.174667448990891,16.331201787342,0.6790974893179512,0.8238656999999999,91219.87,1.0
compo_169,grad13-Nb mesure 3,0.0,82.46,16.98,0.55,0.0,0.0,82.23,17.49,0.28,0.0,166.32635750927872,4.51431050930736,5.502658128208826,0.04415544977031009,0.9041234,98453.55,1.0
compo_170,grad13-Nb mesure 4,0.0,80.09,18.88,1.03,0.0,0.0,80.0,19.47,0.53,0.0,168.88055825720966,4.719238303476722,2.458224878181985,0.08069957307266608,0.8928050999999999,99791.73,1.0
compo_171,grad13-Nb mesure 5,0.0,77.34,21.22,1.44,0.0,0.0,77.34,21.91,0.74,0.0,177.11569911756962,5.073930141293381,5.03000060055968,0.032417548492678985,0.8759905000000001,100019.5,1.0
compo_172,grad13-Nb mesure 6,0.0,74.74,23.2,2.06,0.0,0.0,74.92,24.02,1.06,0.0,180.42457289201425,5.46680982313991,6.9903298033329895,0.03778286563956532,0.8640223,100095.6,1.0
compo_173,grad13-Nb mesure 7,0.0,72.01,25.23,2.76,0.0,0.0,72.38,26.19,1.43,0.0,186.08441108118367,5.8213112586049,1.977443593596224,0.12010433177797841,0.8489267,99677.63,1.0
compo_174,grad13-Nb mesure 8,0.0,68.33,27.9,3.76,0.0,0.0,68.96,29.08,1.96,0.0,192.84640969705524,6.266859538000361,1.4914107693719334,0.027072809314533295,0.879225,102162.3,1.0
compo_175,grad13-Nb mesure 9,0.0,64.85,30.18,4.97,0.0,0.0,65.78,31.62,2.6,0.0,202.31388329722358,6.673130644396792,2.3044751345541923,0.025815709367371636,0.879393,104793.7,1.0
compo_176,grad13-Nb mesure 10,0.0,61.03,33.04,5.93,0.0,0.0,62.15,34.74,3.11,0.0,208.41777686097936,6.822961987530876,5.862382277934636,0.39394016267825543,0.8866364999999999,105419.6,1.0
compo_177,grad13-Nb mesure 11,0.0,58.8,36.19,5.01,0.0,0.0,59.54,37.84,2.62,0.0,214.45503766658095,7.437884702538885,5.866249502881081,0.012721115995952822,0.8912378000000001,105825.8,1.0
compo_178,grad13-Nb mesure 12,0.0,55.31,38.64,6.05,0.0,0.0,56.25,40.58,3.17,0.0,218.99342064845322,7.757783427480863,5.057810217828858,0.037545248975745696,0.9001847,108334.4,1.0
compo_179,grad13-TiMo mesure 1,0.0,53.86,40.51,5.63,0.0,0.0,54.63,42.43,2.94,0.0,206.8862864856912,7.9991920367215,4.894077950173509,0.034297318082467526,0.9144061,98633.53,1.0
compo_180,grad13-TiMo mesure 2,0.0,50.67,43.26,6.07,0.0,0.0,51.46,45.36,3.18,0.0,216.96630756135764,8.332984275689045,2.9232806068504265,0.09541184747799501,0.9196291999999999,101837.8,1.0
compo_181,grad13-TiMo mesure 3,0.0,43.37,42.51,14.12,0.0,0.0,45.87,46.43,7.7,0.0,252.3843983362869,9.868302471284053,14.28495962837957,0.6519532846946674,0.6044613,79965.08,1.0
compo_182,grad13-TiMo mesure 4,0.0,37.51,40.83,21.67,0.0,0.0,41.29,46.41,12.3,0.0,228.66365934052658,8.213632065383699,11.55030575271068,0.756028143326776,0.4263281,70539.16,1.0
compo_183,grad13-TiMo mesure 5,0.0,33.41,41.9,24.69,0.0,0.0,37.37,48.39,14.24,0.0,238.06171149928386,8.677261178900642,10.164319141043537,0.4949821570338814,0.47535299999999997,76274.04,1.0
compo_184,grad13-TiMo mesure 6,0.0,29.68,42.4,27.91,0.0,0.0,33.78,49.84,16.38,0.0,219.5078929487276,8.306222316085647,15.509853129045108,0.5779863510521475,0.4174517,69803.48,1.0
compo_185,grad13-TiMo mesure 7,0.0,26.3,42.81,30.89,0.0,0.0,30.43,51.14,18.43,0.0,221.1773070157532,9.311993629616031,15.292431504229501,1.0373116348245743,0.40312709999999996,65285.74,1.0
compo_186,grad13-TiMo mesure 8,0.0,23.19,44.03,32.78,0.0,0.0,27.1,53.14,19.75,0.0,219.61817656410207,9.564858958626285,12.64922621589962,0.49551746432733795,0.5284446,70821.36,1.0
compo_187,grad13-TiMo mesure 9,0.0,20.46,45.08,34.46,0.0,0.0,24.13,54.91,20.96,0.0,218.12245879428693,9.715783139956423,7.483077297832905,0.4069067621086929,0.49458670000000005,69648.21,1.0
compo_188,grad13-TiMo mesure 10,0.0,17.77,46.33,35.9,0.0,0.0,21.12,56.87,22.01,0.0,220.02311439021713,10.043788813973427,9.504468876820427,0.2998682687596641,0.3509907,62324.69,1.0
compo_189,grad13-TiMo mesure 11,0.0,15.22,47.29,37.49,0.0,0.0,18.26,58.57,23.18,0.0,214.54508646062018,10.195714097067698,8.827821041111962,0.5884935437141254,0.3826874,64214.23,1.0
compo_190,grad13-TiMo mesure 12,0.0,12.71,47.87,39.42,0.0,0.0,15.41,59.95,24.65,0.0,225.01102986171412,10.336588753169831,4.039254545460659,0.16376163155225304,0.3506925,63683.85,1.0
compo_191,grad13-TiMo mesure 13,0.0,10.41,47.69,41.9,0.0,0.0,12.81,60.61,26.58,0.0,208.00779292558119,10.096833388364487,11.994186795192949,0.7001105386682753,0.3943453,65694.93,1.0
compo_192,grad13-TiMo mesure 14,0.0,9.1,49.51,41.39,0.0,0.0,11.15,62.68,26.17,0.0,176.49534848546355,9.307207802196308,5.959059860358274,0.414900511132474,0.0147478,35343.68,0
compo_193,grad14-Ti mesure 1,10.01,0.0,0.0,74.46,15.53,17.27,0.0,0.0,67.46,15.27,117.49366644731967,8.396463414476205,3.198216190727716,0.05031749276322808,0.0147478,35343.68,0
compo_194,grad14-Ti mesure 2,10.73,0.0,0.0,72.4,16.87,18.38,0.0,0.0,65.14,16.48,113.65729309745753,8.399178178734102,1.4488078051569162,0.09181633923708725,0.0147478,35343.68,0
compo_195,grad14-Ti mesure 3,12.08,0.0,0.0,68.47,19.45,20.43,0.0,0.0,60.82,18.75,119.40442121057009,8.024902114957506,2.8501156047391323,0.08697675514925568,0.0147478,35343.68,0
compo_196,grad14-Ti mesure 4,13.39,0.0,0.0,64.72,21.89,22.37,0.0,0.0,56.78,20.85,118.05667212006517,7.819754120447174,3.789001202833442,0.19243192678503543,0.0147478,35343.68,0
compo_197,grad14-Ti mesure 5,15.0,0.0,0.0,60.75,24.25,24.7,0.0,0.0,52.54,22.77,108.68289273294793,6.884635893969193,1.671290611549313,0.05607993613833407,0.0147478,35343.68,0
compo_198,grad14-Ti mesure 6,16.34,0.0,0.0,56.58,27.07,26.58,0.0,0.0,48.32,25.1,113.30333070951583,7.301379404987427,4.122377376153537,0.11605590120788074,0.0147478,35343.68,0
compo_199,grad14-Ti mesure 7,17.79,0.0,0.0,52.55,29.66,28.56,0.0,0.0,44.3,27.14,116.02978191236829,7.749448617281327,0.8543350497307898,0.058693962835428846,0.0147478,35343.68,0
compo_200,grad14-Ti mesure 8,19.1,0.0,0.0,48.41,32.5,30.29,0.0,0.0,40.32,29.38,123.04669246946743,8.2258070796454,0.8156494972072389,0.051190037029661815,0.0147478,35343.68,0
compo_201,grad14-Ti mesure 9,20.32,0.0,0.0,44.5,35.17,31.89,0.0,0.0,36.66,31.45,122.97190060945192,8.526275625128983,2.5148938226972275,0.08682438311148898,0.0147478,35343.68,0
compo_202,grad14-Ti mesure 10,21.52,0.0,0.0,40.61,37.87,33.41,0.0,0.0,33.09,33.5,123.85609757098632,8.978485761804725,2.2796246727078664,0.03367918203285765,0.0147478,35343.68,0
compo_203,grad14-Ti mesure 11,22.86,0.0,0.0,36.46,40.68,35.07,0.0,0.0,29.36,35.57,127.6954800137944,9.426496170466763,1.3206575340580462,0.14351365779752448,0.0147478,35343.68,0
compo_204,grad14-Ti mesure 12,23.94,0.0,0.0,32.95,43.11,36.38,0.0,0.0,26.29,37.33,132.74392441809331,9.774915750121616,3.0529794758633577,0.11039693412589167,0.0147478,35343.68,0
compo_205,grad14-Ti mesure 13,24.93,0.0,0.0,29.53,45.54,37.55,0.0,0.0,23.35,39.1,132.50666517525238,10.038162576897316,2.0679787227846864,0.08499417147442465,0.0147478,35343.68,0
compo_206,grad14-ZrCr mesure 1,25.37,0.0,0.0,27.98,46.64,38.07,0.0,0.0,22.04,39.89,128.06524723858197,10.154236587633168,2.0423161377538315,0.14217716274548753,0.0147478,41185.36,0.0
compo_207,grad14-ZrCr mesure 2,26.01,0.0,0.0,24.97,49.02,38.78,0.0,0.0,19.55,41.67,127.34793126340621,10.29821718989058,2.3216934826612867,0.13064020175102686,0.0147478,35343.68,0
compo_208,grad14-ZrCr mesure 3,26.8,0.0,0.0,22.22,50.97,39.69,0.0,0.0,17.28,43.03,128.22641990316296,10.506103857450121,1.2771727411336269,0.14821940696482425,0.0147478,35343.68,0
compo_209,grad14-ZrCr mesure 4,27.4,0.0,0.0,19.69,52.9,40.36,0.0,0.0,15.23,44.41,132.28455385426508,10.725055935218439,1.4738623257375756,0.42426527227872113,0.0147478,35343.68,0
compo_210,grad14-ZrCr mesure 5,28.05,0.0,0.0,17.4,54.56,41.08,0.0,0.0,13.38,45.54,133.13409444039104,10.944720098683316,1.5981526957640284,0.04081208021432878,0.0147478,35343.68,0
compo_211,grad14-ZrCr mesure 6,29.22,0.0,0.0,14.69,56.09,42.4,0.0,0.0,11.2,46.4,133.12842073191638,10.91578893320733,2.4146445981371185,0.08509847399330386,0.0147478,35343.68,0
compo_212,grad14-ZrCr mesure 7,29.87,0.0,0.0,12.76,57.37,43.12,0.0,0.0,9.68,47.21,133.73496889460844,11.116817123988026,0.6820547521358652,0.20860256665706367,0.0147478,35343.68,0
compo_213,grad14-ZrCr mesure 8,30.56,0.0,0.0,10.9,58.55,43.87,0.0,0.0,8.21,47.91,132.90942860635553,11.253480412191292,3.607977688102259,0.20250877697754166,0.0147478,35343.68,0
compo_214,grad14-ZrCr mesure 9,31.12,0.0,0.0,9.2,59.68,44.48,0.0,0.0,6.9,48.62,131.22017346890485,11.491213024324088,0.16838458122298275,0.000901295133472684,0.0147478,35343.68,0
compo_215,grad14-ZrCr mesure 10,31.82,0.0,0.0,7.81,60.36,45.25,0.0,0.0,5.83,48.92,133.85292064586855,11.298105514251276,3.834243664774317,0.2721584766435542,0.0147478,35343.68,0
compo_216,grad14-ZrCr mesure 11,32.43,0.0,0.0,6.48,61.09,45.9,0.0,0.0,4.82,49.29,133.9801290101807,11.26962813393473,0.7827023504771341,0.03947153715326058,0.0147478,35343.68,0
compo_217,grad14-ZrCr mesure 12,32.98,0.0,0.0,5.64,61.38,46.5,0.0,0.0,4.17,49.33,130.78018153020702,11.196822343444795,4.217784513123036,0.3406845013457702,0.0147478,35343.68,0
compo_218,grad15-Ti mesure 1,13.2,0.0,15.03,71.78,0.0,19.79,0.0,23.7,56.52,0.0,179.9966660744171,9.660625449644986,7.6086084559473575,0.04076483278105508,0.01953953,38684.78,0.0
compo_219,grad15-Ti mesure 2,15.24,0.0,17.62,67.14,0.0,22.08,0.0,26.85,51.07,0.0,173.4431254788504,9.96697674930993,4.241691881348498,0.09590586169624445,0.01969366,38598.09,0.0
compo_220,grad15-Ti mesure 3,17.24,0.0,20.05,62.71,0.0,24.2,0.0,29.59,46.21,0.0,169.8114719379589,10.336791895348902,5.208422765535951,0.0483067304916707,0.02108327,38647.42,1.0
compo_221,grad15-Ti mesure 4,18.84,0.0,22.19,58.97,0.0,25.76,0.0,31.91,42.33,0.0,180.0325857863287,10.781668840204777,7.231685845921416,0.7158221073863231,0.0226257,38822.11,1.0
compo_222,grad15-Ti mesure 5,20.51,0.0,24.31,55.19,0.0,27.32,0.0,34.06,38.61,0.0,181.76914159752903,11.27417030686147,1.6340160373982022,0.2696510218264258,0.01979241,38551.41,0.0
compo_223,grad15-Ti mesure 6,21.85,0.0,26.12,52.03,0.0,28.5,0.0,35.85,35.65,0.0,175.47743801739847,11.732006168337445,4.508170498962336,0.07324862865416683,0.02166546,38607.58,1.0
compo_224,grad15-Ti mesure 7,23.45,0.0,28.32,48.23,0.0,29.85,0.0,37.91,32.24,0.0,189.70254020179362,12.01843503654216,10.272814821835755,1.0750384946321299,0.03490235,39590.24,1.0
compo_225,grad15-Ti mesure 8,24.88,0.0,30.25,44.87,0.0,31.0,0.0,39.64,29.36,0.0,163.67960242649653,11.36730542212056,9.740702959147246,1.0164186188543913,0.05331795,40615.23,1.0
compo_226,grad15-Ti mesure 9,26.39,0.0,32.0,41.61,0.0,32.22,0.0,41.1,26.68,0.0,121.51704342494804,9.876533215881636,6.010132537936816,0.8044617855868366,0.0380165,38409.21,1.0
compo_227,grad15-Ti mesure 10,27.52,0.0,33.18,39.3,0.0,33.14,0.0,42.01,24.85,0.0,114.36292884388718,9.791346554839992,2.727030358024902,0.13163274910805875,0.0147478,35343.68,0
compo_228,grad15-Ti mesure 11,29.0,0.0,34.86,36.14,0.0,34.26,0.0,43.32,22.42,0.0,119.89682157282002,9.785515598007844,2.0428655698165614,0.06210134252785558,0.0147478,35343.68,0
compo_229,grad15-ZrMo mesure 1,29.76,0.0,35.43,34.8,0.0,34.89,0.0,43.69,21.42,0.0,146.77540051038108,10.374710739686556,5.005313991885065,0.12675464618489132,0.0147478,35343.68,0
compo_230,grad15-ZrMo mesure 2,31.37,0.0,37.27,31.36,0.0,36.05,0.0,45.04,18.92,0.0,148.36177148410135,10.65472226623696,4.500226069958948,0.08770269444330367,0.0147478,35343.68,0
compo_231,grad15-ZrMo mesure 3,32.71,0.0,38.61,28.69,0.0,37.01,0.0,45.94,17.04,0.0,143.53465110393356,10.832552304593449,1.5970284868807914,0.10391742035885744,0.0147478,35343.68,0
compo_232,grad15-ZrMo mesure 4,34.07,0.0,40.01,25.92,0.0,37.96,0.0,46.88,15.16,0.0,147.4324846654074,10.922216933381673,2.8694568031784278,0.13893223653652373,0.0147478,35343.68,0
compo_233,grad15-ZrMo mesure 5,35.04,0.0,41.36,23.6,0.0,38.53,0.0,47.84,13.63,0.0,146.70995737028716,11.167474437996452,3.1439767285668467,0.18376045844957062,0.0147478,35343.68,0
compo_234,grad15-ZrMo mesure 6,36.53,0.0,42.74,20.74,0.0,39.55,0.0,48.66,11.79,0.0,144.11262403497727,11.008329184405106,4.158571773855118,0.07935685007041855,0.0147478,35343.68,0
compo_235,grad15-ZrMo mesure 7,37.4,0.0,43.91,18.69,0.0,40.04,0.0,49.45,10.51,0.0,139.74786445189912,11.113660373577243,2.4636201872516366,0.23007123455499215,0.0147478,35343.68,0
compo_236,grad15-ZrMo mesure 8,38.47,0.0,44.96,16.57,0.0,40.73,0.0,50.06,9.21,0.0,142.08069102747973,11.413827571457533,1.3817776215316675,0.15889396098227024,0.0147478,35343.68,0
compo_237,grad15-ZrMo mesure 9,39.54,0.0,46.01,14.45,0.0,41.4,0.0,50.66,7.94,0.0,134.29993330696794,11.117023948375543,3.1697728984270452,0.14971758587537173,0.0147478,35343.68,0
compo_238,grad15-ZrMo mesure 10,40.36,0.0,47.02,12.62,0.0,41.85,0.0,51.28,6.87,0.0,110.27392555154461,10.708155152733118,0.18506917913830764,0.11339810578496876,0.0147478,35343.68,0
compo_239,grad15-ZrMo mesure 11,41.3,0.0,48.06,10.65,0.0,42.39,0.0,51.87,5.74,0.0,82.10179786779841,9.03454753014546,1.9614954598351761,0.10207530394420906,0.0147478,35343.68,0
compo_240,grad16-NbZrCrMo mesure 1,15.15,15.1,17.13,30.69,21.92,19.63,19.94,23.35,20.89,16.19,142.61476285872638,9.956721658206583,2.3509451674636,0.03793176012629521,0.0147478,35343.68,0
compo_241,grad16-NbZrCrMo mesure 2,15.7,15.32,17.66,28.69,22.63,20.17,20.05,23.87,19.35,16.57,142.2920735007261,10.055579671229271,1.5525054218128091,0.140781158373166,0.0147478,35343.68,0
compo_242,grad16-NbZrCrMo mesure 3,16.32,16.01,18.66,25.41,23.61,20.65,20.63,24.82,16.88,17.02,146.2877678653418,10.17126968975451,3.0852650816268024,0.08209450347101999,0.0147478,35343.68,0
compo_243,grad16-NbZrCrMo mesure 4,16.98,16.59,19.19,22.79,24.45,21.24,21.13,25.24,14.96,17.43,143.9698018596551,10.417460273364409,1.811696223235803,0.17736680251530132,0.0147478,35343.68,0
compo_244,grad16-NbZrCrMo mesure 5,17.51,16.82,19.63,20.74,25.3,21.72,21.26,25.62,13.51,17.89,145.94287612250068,10.61642408765696,3.139313915048662,0.17663721473736108,0.0147478,35343.68,0
compo_245,grad16-NbZrCrMo mesure 6,18.05,17.68,20.14,18.22,25.91,22.12,22.08,25.97,11.73,18.11,145.8076876808853,10.75390669958172,2.516198471117248,0.10086259046741763,0.0147478,35343.68,0
compo_246,grad16-NbZrCrMo mesure 7,18.61,18.01,20.65,16.22,26.51,22.62,22.29,26.39,10.35,18.36,144.44471654597174,11.023442408281976,4.659683275722112,0.1803310241742648,0.0147478,35343.68,0
compo_247,grad16-NbZrCrMo mesure 8,19.06,18.32,21.21,14.19,27.22,22.96,22.48,26.88,8.98,18.7,137.3689444373963,10.652967255657478,3.7928056046411713,0.23308891160182374,0.0147478,35343.68,0
compo_248,grad16-NbZrCrMo mesure 9,19.42,18.85,21.74,12.52,27.48,23.19,22.93,27.31,7.85,18.71,140.12339994708137,10.902945726868435,4.498299840293178,0.15807277558275626,0.0147478,35343.68,0
compo_249,grad16-NbZrCrMo mesure 10,19.87,19.33,21.98,10.57,28.25,23.56,23.35,27.42,6.58,19.09,141.2450923756177,10.886211715694452,3.3854665588372637,0.0155604572260018,0.0147478,35343.68,0
compo_250,grad16-NbZrCrMo mesure 11,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,140.01050143321794,11.049096984215108,1.7607954313433796,0.11807461938392191,0.0147478,35343.68,0
compo_251,grad16-NbZrCrMo mesure 12,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,142.17596125194436,11.066628872832727,1.2746389005187788,0.13993433726343138,0.0147478,35343.68,0
compo_252,grad16-Ti mesure 1,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,129.81176319458226,7.371765392473877,2.0410391226039613,0.08621490009820286,0.0147478,35343.68,0
compo_253,grad16-Ti mesure 2,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,133.07511336164958,7.997070502897353,4.255034767299502,0.27851145886413803,0.0147478,35343.68,0
compo_254,grad16-Ti mesure 3,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,135.32163470006375,8.650333301069635,2.396350615536762,0.3962008656764635,0.0147478,35343.68,0
compo_255,grad16-Ti mesure 4,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,145.12060249317187,9.8442613979133,5.413592246416148,0.5556141345753964,0.0147478,35343.68,0
