v,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa,H_GPa,CI,IQ,XRD
data_34,grad6-CrMo measure 7 indent 4,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,222.21946301586928,12.042174772031254,0.3645811,63169.42,1.0
data_35,grad6-CrMo measure 7 indent 5,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,222.8385250189855,11.129883974490886,0.3645811,63169.42,1.0
data_36,grad6-CrMo measure 8 indent 1,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,263.6461656840356,12.783745196709432,0.36920949999999997,62913.97,1.0
data_37,grad6-CrMo measure 8 indent 2,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,271.8035259716412,12.627845341595183,0.36920949999999997,62913.97,1.0
data_38,grad6-CrMo measure 8 indent 3,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,259.0340928584196,12.901853614569795,0.36920949999999997,62913.97,1.0
data_39,grad6-CrMo measure 8 indent 4,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,261.9835955449442,12.303265871094558,0.36920949999999997,62913.97,1.0
data_40,grad6-CrMo measure 8 indent 5,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,257.59619091837607,12.32949139080307,0.36920949999999997,62913.97,1.0
data_41,grad6-CrMo measure 9 indent 1,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,258.8689677732986,12.614249159968871,0.3415437,61020.48,1.0
data_42,grad6-CrMo measure 9 indent 2,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,269.8021854687652,13.026174828559839,0.3415437,61020.48,1.0
data_43,grad6-CrMo measure 9 indent 3,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,262.86146677649975,12.097278271735084,0.3415437,61020.48,1.0
data_44,grad6-CrMo measure 9 indent 4,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,280.59915002475407,13.202677345547414,0.3415437,61020.48,1.0
