v,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa,H_GPa,CI,IQ,XRD
data_611,grad11-Nb measure 6 indent 1,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,134.65718257970738,4.590682788738743,0.05724289,49006.85,1.0
data_612,grad11-Nb measure 6 indent 2,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,143.1325147466167,4.821671105877764,0.05724289,49006.85,1.0
data_613,grad11-Nb measure 6 indent 3,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,134.80336036007196,4.610949159249724,0.05724289,49006.85,1.0
data_614,grad11-Nb measure 6 indent 4,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,132.32525495290298,4.444721511822714,0.05724289,49006.85,1.0
data_615,grad11-Nb measure 6 indent 5,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,134.64469475079215,4.3299277294028995,0.05724289,49006.85,1.0
data_616,grad11-Nb measure 7 indent 1,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,133.7781961514774,4.5404560366430475,0.04626738,48802.18,1.0
data_617,grad11-Nb measure 7 indent 2,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,130.8524744344669,4.499067253091697,0.04626738,48802.18,1.0
data_618,grad11-Nb measure 7 indent 3,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,133.978941727579,4.904639831802145,0.04626738,48802.18,1.0
data_619,grad11-Nb measure 7 indent 4,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,134.78659757165516,4.7250713980909085,0.04626738,48802.18,1.0
data_620,grad11-Nb measure 7 indent 5,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,128.23479736613814,4.504088995569006,0.04626738,48802.18,1.0
data_621,grad11-Nb measure 8 indent 1,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,136.17280859505573,4.865946079851652,0.05116246,48596.19,1.0
data_622,grad11-Nb measure 8 indent 2,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,150.21577452589048,5.366955189786966,0.05116246,48596.19,1.0
data_623,grad11-Nb measure 8 indent 3,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,145.51510242008993,5.12745060091069,0.05116246,48596.19,1.0
data_624,grad11-Nb measure 8 indent 4,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,144.71698654874925,5.077061402888958,0.05116246,48596.19,1.0
data_625,grad11-Nb measure 8 indent 5,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,139.50233609821916,4.862433807013385,0.05116246,48596.19,1.0
data_626,grad11-Nb measure 9 indent 1,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,128.4360641426936,4.31793404131503,0.03992642,47935.95,1.0
data_627,grad11-Nb measure 9 indent 2,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,151.4695030960803,5.070680969400789,0.03992642,47935.95,1.0
data_628,grad11-Nb measure 9 indent 3,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,130.93617087246264,5.023370555117474,0.03992642,47935.95,1.0
data_629,grad11-Nb measure 9 indent 4,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,138.34396995597302,4.966747681095317,0.03992642,47935.95,1.0
data_630,grad11-Nb measure 9 indent 5,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,139.3618369127709,4.769125229487251,0.03992642,47935.95,1.0
data_631,grad11-Nb measure 10 indent 1,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,135.43787334999246,4.974780722370683,0.0386345,47817.27,1.0
data_632,grad11-Nb measure 10 indent 2,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,131.8395737400216,4.60475213916783,0.0386345,47817.27,1.0
data_633,grad11-Nb measure 10 indent 3,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,135.11542392857893,5.244908683362045,0.0386345,47817.27,1.0
data_634,grad11-Nb measure 10 indent 4,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,132.46596676625825,4.726725169935579,0.0386345,47817.27,1.0
data_635,grad11-Nb measure 10 indent 5,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,126.03592662586342,4.577247256002185,0.0386345,47817.27,1.0
data_636,grad11-Nb measure 11 indent 1,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,136.36405786614387,5.468986997061357,0.04298507,47956.25,1.0
data_637,grad11-Nb measure 11 indent 2,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,131.50099174212318,5.144319870527164,0.04298507,47956.25,1.0
data_638,grad11-Nb measure 11 indent 3,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,128.22597892983796,4.906634066044322,0.04298507,47956.25,1.0
data_639,grad11-Nb measure 11 indent 4,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,139.17160056841456,5.35788354577888,0.04298507,47956.25,1.0
data_640,grad11-Nb measure 11 indent 5,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,131.10238622684474,5.400488080975443,0.04298507,47956.25,1.0
data_641,grad11-Nb measure 12 indent 1,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,140.3347899812325,5.569183205525395,0.03195407,47261.18,1.0
data_642,grad11-Nb measure 12 indent 2,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,135.64058397238432,5.272720837708987,0.03195407,47261.18,1.0
data_643,grad11-Nb measure 12 indent 3,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,131.53581868133458,5.4158163391754,0.03195407,47261.18,1.0
data_644,grad11-Nb measure 12 indent 4,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,136.41744483781514,5.504847688170106,0.03195407,47261.18,1.0
data_645,grad11-Nb measure 12 indent 5,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,133.927994317487,5.550175716180159,0.03195407,47261.18,1.0
data_646,grad11-TiZr measure 1 indent 1,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,128.07812588171262,5.462364956153218,0.02917875,46918.46,1.0
data_647,grad11-TiZr measure 1 indent 2,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,135.90899563673582,5.608404446576104,0.02917875,46918.46,1.0
data_648,grad11-TiZr measure 1 indent 3,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,136.7231825891143,5.231544310676773,0.02917875,46918.46,1.0
data_649,grad11-TiZr measure 1 indent 4,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,123.48991816244255,5.0299148856427855,0.02917875,46918.46,1.0
data_650,grad11-TiZr measure 1 indent 5,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,139.71197014602785,5.610821472217901,0.02917875,46918.46,1.0
data_651,grad11-TiZr measure 2 indent 1,18.81,47.7,0.0,33.49,0.0,22.14,57.17,0.0,20.7,0.0,128.99681938163627,5.6394769317734585,0.0260959,46530.32,1.0
data_652,grad11-TiZr measure 2 indent 2,18.81,47.7,0.0,33.49,0.0,22.14,57.17,0.0,20.7,0.0,126.28407385242812,5.618887790619749,0.0260959,46530.32,1.0
data_653,grad11-TiZr measure 2 indent 3,18.81,47.7,0.0,33.49,0.0,22.14,57.17,0.0,20.7,0.0,0.002821803269153597,0.0004528974290355168,0.0260959,46530.32,1.0
data_654,grad11-TiZr measure 2 indent 4,18.81,47.7,0.0,33.49,0.0,22.14,57.17,0.0,20.7,0.0,131.75878788825753,5.731001846972078,0.0260959,46530.32,1.0
data_655,grad11-TiZr measure 2 indent 5,18.81,47.7,0.0,33.49,0.0,22.14,57.17,0.0,20.7,0.0,130.63224525823338,5.640079681885834,0.0260959,46530.32,1.0
data_656,grad11-TiZr measure 3 indent 1,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,130.63690091998933,5.925439674947324,0.02428299,46390.33,1.0
data_657,grad11-TiZr measure 3 indent 2,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,129.4678736477284,5.483902546064699,0.02428299,46390.33,1.0
data_658,grad11-TiZr measure 3 indent 3,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,128.22819835259767,5.435305843002843,0.02428299,46390.33,1.0
data_659,grad11-TiZr measure 3 indent 4,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,128.1702009131038,5.6206472144714335,0.02428299,46390.33,1.0
data_660,grad11-TiZr measure 3 indent 5,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,134.15498508618018,6.143245387773419,0.02428299,46390.33,1.0
data_661,grad11-TiZr measure 4 indent 1,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,135.13005388865338,6.103051376962428,0.02631919,46854.46,1.0
data_662,grad11-TiZr measure 4 indent 2,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,132.06992184124678,5.48274391440926,0.02631919,46854.46,1.0
data_663,grad11-TiZr measure 4 indent 3,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,135.6684043281103,5.605009037926124,0.02631919,46854.46,1.0
data_664,grad11-TiZr measure 4 indent 4,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,128.62171234490103,5.696610785944264,0.02631919,46854.46,1.0
data_665,grad11-TiZr measure 4 indent 5,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,138.1273461627579,5.942488864138852,0.02631919,46854.46,1.0
data_666,grad11-TiZr measure 5 indent 1,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,125.77900543832477,5.511530142189567,0.02202883,46386.48,1.0
data_667,grad11-TiZr measure 5 indent 2,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,126.24001111127934,5.617978560680915,0.02202883,46386.48,1.0
data_668,grad11-TiZr measure 5 indent 3,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,128.66681864880627,5.644046248054362,0.02202883,46386.48,1.0
data_669,grad11-TiZr measure 5 indent 4,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,123.36158829237894,5.422426340090864,0.02202883,46386.48,1.0
data_670,grad11-TiZr measure 5 indent 5,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,123.03986925918397,5.326615429078556,0.02202883,46386.48,1.0
data_671,grad11-TiZr measure 6 indent 1,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,117.51718323479548,5.070324975535708,0.0212451,46088.73,1.0
data_672,grad11-TiZr measure 6 indent 2,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,130.9259598931353,6.130108995071415,0.0212451,46088.73,1.0
data_673,grad11-TiZr measure 6 indent 3,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,128.50699676545392,6.010130263276388,0.0212451,46088.73,1.0
data_674,grad11-TiZr measure 6 indent 4,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,116.6751308453177,5.14416966616077,0.0212451,46088.73,1.0
data_675,grad11-TiZr measure 6 indent 5,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,121.770150005571,5.765385515552409,0.0212451,46088.73,1.0
data_676,grad11-TiZr measure 7 indent 1,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,124.30398252894067,6.19528423896982,0.0147478,35343.68,0
data_677,grad11-TiZr measure 7 indent 2,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,111.63096410846231,5.257945299062273,0.0147478,35343.68,0
data_678,grad11-TiZr measure 7 indent 3,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,126.03433337353196,6.245915028555316,0.0147478,35343.68,0
data_679,grad11-TiZr measure 7 indent 4,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,121.2332824451921,5.850782503034625,0.0147478,35343.68,0
data_680,grad11-TiZr measure 7 indent 5,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,118.71982960641544,5.2233253599948295,0.0147478,35343.68,0
data_681,grad11-TiZr measure 8 indent 1,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,116.77069639222414,5.658430261385636,0.0147478,35343.68,0
data_682,grad11-TiZr measure 8 indent 2,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,116.54237386424948,5.953093077191093,0.0147478,35343.68,0
data_683,grad11-TiZr measure 8 indent 3,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,106.20684656422537,5.178245366224706,0.0147478,35343.68,0
data_684,grad11-TiZr measure 8 indent 4,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,113.57438326940174,5.276483286572564,0.0147478,35343.68,0
data_685,grad11-TiZr measure 8 indent 5,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,105.59933294801021,5.3879815190006015,0.0147478,35343.68,0
data_686,grad11-TiZr measure 9 indent 1,24.54,22.13,0.0,53.33,0.0,32.69,30.01,0.0,37.3,0.0,103.74237921004344,5.15357271691632,0.0147478,35343.68,0
data_687,grad11-TiZr measure 9 indent 2,24.54,22.13,0.0,53.33,0.0,32.69,30.01,0.0,37.3,0.0,110.38357686768194,5.576551012334054,0.0147478,35343.68,0
data_688,grad11-TiZr measure 9 indent 3,24.54,22.13,0.0,53.33,0.0,32.69,30.01,0.0,37.3,0.0,0,0,0.0147478,35343.68,0
data_689,grad11-TiZr measure 9 indent 4,24.54,22.13,0.0,53.33,0.0,32.69,30.01,0.0,37.3,0.0,110.86220580891961,5.355117004541118,0.0147478,35343.68,0
data_690,grad11-TiZr measure 9 indent 5,24.54,22.13,0.0,53.33,0.0,32.69,30.01,0.0,37.3,0.0,113.75833868484322,5.654735725137997,0.0147478,35343.68,0
data_691,grad11-TiZr measure 10 indent 1,25.42,18.77,0.0,55.81,0.0,34.42,25.89,0.0,39.68,0.0,104.60434790020255,5.313106737685011,0.0147478,35343.68,0
data_692,grad11-TiZr measure 10 indent 2,25.42,18.77,0.0,55.81,0.0,34.42,25.89,0.0,39.68,0.0,120.66204747098203,6.55832247449798,0.0147478,35343.68,0
data_693,grad11-TiZr measure 10 indent 3,25.42,18.77,0.0,55.81,0.0,34.42,25.89,0.0,39.68,0.0,104.37673166630653,5.418036378331912,0.0147478,35343.68,0
data_694,grad11-TiZr measure 10 indent 4,25.42,18.77,0.0,55.81,0.0,34.42,25.89,0.0,39.68,0.0,108.66028062837006,5.413157606620718,0.0147478,35343.68,0
data_695,grad11-TiZr measure 10 indent 5,25.42,18.77,0.0,55.81,0.0,34.42,25.89,0.0,39.68,0.0,109.5224137817457,5.3520758094096506,0.0147478,35343.68,0
data_696,grad11-TiZr measure 11 indent 1,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,109.23314155030812,5.683904245851943,0.0147478,35343.68,0
data_697,grad11-TiZr measure 11 indent 2,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,111.44488331319913,6.294326804281386,0.0147478,35343.68,0
data_698,grad11-TiZr measure 11 indent 3,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,109.27259719806551,5.899052540202851,0.0147478,35343.68,0
data_699,grad11-TiZr measure 11 indent 4,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,112.30148912234631,6.003802207491763,0.0147478,35343.68,0
data_700,grad11-TiZr measure 11 indent 5,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,107.89770318659157,5.578471654091395,0.0147478,35343.68,0
data_701,grad11-TiZr measure 12 indent 1,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,112.15902754887064,6.293937350226805,0.0147478,35343.68,0
data_702,grad11-TiZr measure 12 indent 2,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,111.1153362458271,6.310638182173348,0.0147478,35343.68,0
data_703,grad11-TiZr measure 12 indent 3,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,107.37722195834874,5.964155141993347,0.0147478,35343.68,0
data_704,grad11-TiZr measure 12 indent 4,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,106.3493867499339,6.006538728912469,0.0147478,35343.68,0
data_705,grad11-TiZr measure 12 indent 5,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,110.4853933668167,6.081329744649146,0.0147478,35343.68,0
data_706,grad12-Nb measure 1 indent 1,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,144.1051310605568,6.758262935444967,0.02590686,44072.68,1.0
data_707,grad12-Nb measure 1 indent 2,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,146.12765564204358,6.818023873354882,0.02590686,44072.68,1.0
data_708,grad12-Nb measure 1 indent 3,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,150.5271779563019,6.67761412977537,0.02590686,44072.68,1.0
data_709,grad12-Nb measure 1 indent 4,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,145.47975365694373,6.767790643185291,0.02590686,44072.68,1.0
data_710,grad12-Nb measure 1 indent 5,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,148.13918981040038,6.671164847294922,0.02590686,44072.68,1.0
data_711,grad12-Nb measure 2 indent 1,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,145.856980248509,7.215565427246807,0.03223519,44336.83,1.0
data_712,grad12-Nb measure 2 indent 2,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,145.70148968826143,7.210441146238126,0.03223519,44336.83,1.0
data_713,grad12-Nb measure 2 indent 3,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,150.82970803508863,7.350818985165692,0.03223519,44336.83,1.0
data_714,grad12-Nb measure 2 indent 4,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,150.3989242329846,7.409948359033748,0.03223519,44336.83,1.0
data_715,grad12-Nb measure 2 indent 5,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,146.57681609987722,7.092602639158693,0.03223519,44336.83,1.0
data_716,grad12-Nb measure 3 indent 1,5.72,73.88,9.95,3.05,7.39,5.88,77.37,10.76,1.65,4.33,0.24917621406407225,0.002971723208875895,0.06609693,46608.48,1.0
data_717,grad12-Nb measure 3 indent 2,5.72,73.88,9.95,3.05,7.39,5.88,77.37,10.76,1.65,4.33,145.68892239333104,7.146704503050085,0.06609693,46608.48,1.0
data_718,grad12-Nb measure 3 indent 3,5.72,73.88,9.95,3.05,7.39,5.88,77.37,10.76,1.65,4.33,150.1645179846306,7.348924975430491,0.06609693,46608.48,1.0
data_719,grad12-Nb measure 3 indent 4,5.72,73.88,9.95,3.05,7.39,5.88,77.37,10.76,1.65,4.33,154.5428134892001,7.291365027676461,0.06609693,46608.48,1.0
data_720,grad12-Nb measure 3 indent 5,5.72,73.88,9.95,3.05,7.39,5.88,77.37,10.76,1.65,4.33,151.11994754063878,6.6296306584226015,0.06609693,46608.48,1.0
data_721,grad12-Nb measure 4 indent 1,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,157.93236964076303,7.424488720318905,0.06420066,46576.17,1.0
data_722,grad12-Nb measure 4 indent 2,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,155.82293746709237,7.612218179586865,0.06420066,46576.17,1.0
data_723,grad12-Nb measure 4 indent 3,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,158.54254951120535,7.472050977815938,0.06420066,46576.17,1.0
data_724,grad12-Nb measure 4 indent 4,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,142.67731964053937,6.988342993701367,0.06420066,46576.17,1.0
data_725,grad12-Nb measure 4 indent 5,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,156.9179718698352,7.687224354084755,0.06420066,46576.17,1.0
data_726,grad12-Nb measure 5 indent 1,6.53,67.37,11.61,4.05,10.44,6.84,71.9,12.79,2.23,6.23,162.0918224482956,7.942796869632466,0.05419054,45458.03,1.0
data_727,grad12-Nb measure 5 indent 2,6.53,67.37,11.61,4.05,10.44,6.84,71.9,12.79,2.23,6.23,171.21812556508337,8.685078086787048,0.05419054,45458.03,1.0
data_728,grad12-Nb measure 5 indent 3,6.53,67.37,11.61,4.05,10.44,6.84,71.9,12.79,2.23,6.23,168.71995669276117,7.896955603765526,0.05419054,45458.03,1.0
data_729,grad12-Nb measure 5 indent 4,6.53,67.37,11.61,4.05,10.44,6.84,71.9,12.79,2.23,6.23,162.5773434063874,7.84917495991276,0.05419054,45458.03,1.0
data_730,grad12-Nb measure 5 indent 5,6.53,67.37,11.61,4.05,10.44,6.84,71.9,12.79,2.23,6.23,153.86842644689344,7.721607646410874,0.05419054,45458.03,1.0
data_731,grad12-Nb measure 6 indent 1,6.95,63.0,12.82,5.03,12.2,7.38,68.12,14.32,2.8,7.38,167.4994801408406,8.156183152863502,0.05163688,45197.84,1.0
data_732,grad12-Nb measure 6 indent 2,6.95,63.0,12.82,5.03,12.2,7.38,68.12,14.32,2.8,7.38,169.76394995035733,8.617938517562024,0.05163688,45197.84,1.0
data_733,grad12-Nb measure 6 indent 3,6.95,63.0,12.82,5.03,12.2,7.38,68.12,14.32,2.8,7.38,174.1434122315726,8.84849007079358,0.05163688,45197.84,1.0
data_734,grad12-Nb measure 6 indent 4,6.95,63.0,12.82,5.03,12.2,7.38,68.12,14.32,2.8,7.38,168.4003229263712,8.75444743427078,0.05163688,45197.84,1.0
data_735,grad12-Nb measure 6 indent 5,6.95,63.0,12.82,5.03,12.2,7.38,68.12,14.32,2.8,7.38,167.39021671310144,8.904948204390676,0.05163688,45197.84,1.0
data_736,grad12-Nb measure 7 indent 1,7.21,59.27,13.6,6.4,13.54,7.75,64.95,15.39,3.61,8.3,168.42760788436138,8.915466149656107,0.04190337,44270.29,1.0
data_737,grad12-Nb measure 7 indent 2,7.21,59.27,13.6,6.4,13.54,7.75,64.95,15.39,3.61,8.3,170.44637644844954,9.002105133296787,0.04190337,44270.29,1.0
data_738,grad12-Nb measure 7 indent 3,7.21,59.27,13.6,6.4,13.54,7.75,64.95,15.39,3.61,8.3,163.83715537858987,8.767530164658845,0.04190337,44270.29,1.0
data_739,grad12-Nb measure 7 indent 4,7.21,59.27,13.6,6.4,13.54,7.75,64.95,15.39,3.61,8.3,144.19765251831032,7.123610377387062,0.04190337,44270.29,1.0
data_740,grad12-Nb measure 7 indent 5,7.21,59.27,13.6,6.4,13.54,7.75,64.95,15.39,3.61,8.3,0,0,0.04190337,44270.29,1.0
data_741,grad12-Nb measure 8 indent 1,7.7,55.17,14.35,7.73,15.05,8.41,61.32,16.47,4.43,9.36,165.92722791570097,8.837668093947977,0.04477604,45044.02,1.0
data_742,grad12-Nb measure 8 indent 2,7.7,55.17,14.35,7.73,15.05,8.41,61.32,16.47,4.43,9.36,159.0365583144362,8.766344606319418,0.04477604,45044.02,1.0
data_743,grad12-Nb measure 8 indent 3,7.7,55.17,14.35,7.73,15.05,8.41,61.32,16.47,4.43,9.36,180.0450784339964,9.61349587605137,0.04477604,45044.02,1.0
data_744,grad12-Nb measure 8 indent 4,7.7,55.17,14.35,7.73,15.05,8.41,61.32,16.47,4.43,9.36,166.21794053524178,8.69215786424267,0.04477604,45044.02,1.0
data_745,grad12-Nb measure 8 indent 5,7.7,55.17,14.35,7.73,15.05,8.41,61.32,16.47,4.43,9.36,176.87504036150227,9.581010251750957,0.04477604,45044.02,1.0
data_746,grad12-Nb measure 9 indent 1,8.31,51.55,14.86,8.81,16.47,9.19,58.04,17.28,5.11,10.38,169.28512128450055,9.350659048929703,0.09539693,47639.16,1.0
data_747,grad12-Nb measure 9 indent 2,8.31,51.55,14.86,8.81,16.47,9.19,58.04,17.28,5.11,10.38,164.733588082271,9.161293144220782,0.09539693,47639.16,1.0
data_748,grad12-Nb measure 9 indent 3,8.31,51.55,14.86,8.81,16.47,9.19,58.04,17.28,5.11,10.38,182.83800994848943,9.712868859854217,0.09539693,47639.16,1.0
data_749,grad12-Nb measure 9 indent 4,8.31,51.55,14.86,8.81,16.47,9.19,58.04,17.28,5.11,10.38,170.6724093825606,8.957160215936385,0.09539693,47639.16,1.0
data_750,grad12-Nb measure 9 indent 5,8.31,51.55,14.86,8.81,16.47,9.19,58.04,17.28,5.11,10.38,169.37344398638183,9.832255145042698,0.09539693,47639.16,1.0
data_751,grad12-Nb measure 10 indent 1,8.93,47.55,15.47,10.23,17.82,10.02,54.31,18.25,6.03,11.39,164.85559307377878,9.068621098982454,0.1465434,50261.41,1.0
data_752,grad12-Nb measure 10 indent 2,8.93,47.55,15.47,10.23,17.82,10.02,54.31,18.25,6.03,11.39,188.74046053817045,11.12700517765523,0.1465434,50261.41,1.0
data_753,grad12-Nb measure 10 indent 3,8.93,47.55,15.47,10.23,17.82,10.02,54.31,18.25,6.03,11.39,195.27326647234193,11.52664066061795,0.1465434,50261.41,1.0
data_754,grad12-Nb measure 10 indent 4,8.93,47.55,15.47,10.23,17.82,10.02,54.31,18.25,6.03,11.39,166.53760104144425,9.549883154959597,0.1465434,50261.41,1.0
data_755,grad12-Nb measure 10 indent 5,8.93,47.55,15.47,10.23,17.82,10.02,54.31,18.25,6.03,11.39,168.63045066441128,9.289704207123144,0.1465434,50261.41,1.0
data_756,grad12-Nb measure 11 indent 1,9.28,43.24,16.21,11.72,19.56,10.59,50.23,19.45,7.02,12.72,157.35008055987475,8.872684417963612,0.1371491,49809.27,1.0
data_757,grad12-Nb measure 11 indent 2,9.28,43.24,16.21,11.72,19.56,10.59,50.23,19.45,7.02,12.72,178.26480336771465,9.590466122133087,0.1371491,49809.27,1.0
data_758,grad12-Nb measure 11 indent 3,9.28,43.24,16.21,11.72,19.56,10.59,50.23,19.45,7.02,12.72,187.89533384441333,10.595030140415364,0.1371491,49809.27,1.0
data_759,grad12-Nb measure 11 indent 4,9.28,43.24,16.21,11.72,19.56,10.59,50.23,19.45,7.02,12.72,178.8343745698024,10.68647298772617,0.1371491,49809.27,1.0
data_760,grad12-Nb measure 11 indent 5,9.28,43.24,16.21,11.72,19.56,10.59,50.23,19.45,7.02,12.72,152.52297379863143,8.22055924281658,0.1371491,49809.27,1.0
data_761,grad12-Nb measure 12 indent 1,9.5,39.78,16.77,12.78,21.17,10.99,46.88,20.41,7.76,13.96,0,0,0.1281994,48213.38,1.0
