,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,H_GPa
data_48,grad6-CrMo measure 10 indent 3,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,12.04602932634753
data_49,grad6-CrMo measure 10 indent 4,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,12.541976347612337
data_50,grad6-CrMo measure 10 indent 5,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,11.841173565638254
data_51,grad6-CrMo measure 11 indent 1,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,12.717038341062247
data_52,grad6-CrMo measure 11 indent 2,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,11.792151606778935
data_53,grad6-CrMo measure 11 indent 3,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,12.48101758406118
data_54,grad6-CrMo measure 11 indent 4,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,11.27936416699359
data_56,grad6-NbTi measure 1 indent 1,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,11.768843617540313
data_57,grad6-NbTi measure 1 indent 2,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,11.327024417724374
data_58,grad6-NbTi measure 1 indent 3,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,12.60466446631489
data_59,grad6-NbTi measure 1 indent 4,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,13.135071895168284
data_60,grad6-NbTi measure 1 indent 5,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,12.512978714358777
data_61,grad6-NbTi measure 2 indent 1,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,11.735876357557949
data_62,grad6-NbTi measure 2 indent 2,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,12.12932004673564
data_63,grad6-NbTi measure 2 indent 3,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,11.656407899468402
data_64,grad6-NbTi measure 2 indent 4,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,11.489595896136125
data_65,grad6-NbTi measure 2 indent 5,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,12.299522953719464
data_66,grad6-NbTi measure 3 indent 1,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,11.95817262250822
data_67,grad6-NbTi measure 3 indent 2,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,11.126848629573509
data_68,grad6-NbTi measure 3 indent 3,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,10.938693787718165
data_69,grad6-NbTi measure 3 indent 4,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,11.77064683500079
data_70,grad6-NbTi measure 3 indent 5,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,10.650441629675294
data_71,grad6-NbTi measure 4 indent 1,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,11.188996373027534
data_72,grad6-NbTi measure 4 indent 2,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,10.931590449628384
data_73,grad6-NbTi measure 4 indent 3,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,11.08552018901687
data_74,grad6-NbTi measure 4 indent 4,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,10.868398170181031
data_75,grad6-NbTi measure 4 indent 5,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,10.734888859007835
data_76,grad6-NbTi measure 5 indent 1,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,10.806902090319431
data_78,grad6-NbTi measure 5 indent 3,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,10.639484090462428
data_79,grad6-NbTi measure 5 indent 4,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,10.691400393884598
data_80,grad6-NbTi measure 5 indent 5,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,10.678331993436398
data_81,grad6-NbTi measure 6 indent 1,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,11.295552692215676
data_82,grad6-NbTi measure 6 indent 2,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,11.317618242506004
data_83,grad6-NbTi measure 6 indent 3,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,10.70432578546037
data_84,grad6-NbTi measure 6 indent 4,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,11.383346645305068
data_85,grad6-NbTi measure 6 indent 5,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,10.958761847557373
data_86,grad6-NbTi measure 7 indent 1,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,10.758484509877926
data_87,grad6-NbTi measure 7 indent 2,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,9.938736630153532
data_88,grad6-NbTi measure 7 indent 3,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,10.47234896582368
data_89,grad6-NbTi measure 7 indent 4,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,10.014165279635021
data_90,grad6-NbTi measure 7 indent 5,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,10.30305144571601
data_91,grad6-NbTi measure 8 indent 1,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,10.008548815460411
data_92,grad6-NbTi measure 8 indent 2,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,9.78951932803297
data_93,grad6-NbTi measure 8 indent 3,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,10.02942837233119
data_94,grad6-NbTi measure 8 indent 4,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,9.630417676632891
data_95,grad6-NbTi measure 8 indent 5,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,9.697461079168496
data_96,grad6-NbTi measure 9 indent 1,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,9.778309314474477
data_97,grad6-NbTi measure 9 indent 2,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,9.99033250122949
data_98,grad6-NbTi measure 9 indent 3,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,9.642407841652183
data_99,grad6-NbTi measure 9 indent 4,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,8.815266636334263
data_100,grad6-NbTi measure 9 indent 5,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,9.488410426248137
