,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,H_GPa
data_510,grad10-NbMo measure 10 indent 5,12.53,31.65,39.18,16.64,0.0,13.22,34.04,43.51,9.22,0.0,11.516057725098232
data_511,grad10-NbMo measure 11 indent 1,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,10.893832622279215
data_513,grad10-NbMo measure 11 indent 3,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,10.780021678418015
data_514,grad10-NbMo measure 11 indent 4,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,10.547997933859818
data_515,grad10-NbMo measure 11 indent 5,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,10.763916082322154
data_516,grad10-NbMo measure 12 indent 1,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,10.888968678215123
data_517,grad10-NbMo measure 12 indent 2,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,10.590628100392776
data_518,grad10-NbMo measure 12 indent 3,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,10.866892976141788
data_519,grad10-NbMo measure 12 indent 4,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,10.632877776772196
data_520,grad10-NbMo measure 12 indent 5,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,10.723912823067618
data_521,grad10-NbMo measure 13 indent 1,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,9.808806175171618
data_522,grad10-NbMo measure 13 indent 2,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,10.63028572242225
data_523,grad10-NbMo measure 13 indent 3,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,10.010055510054512
data_524,grad10-NbMo measure 13 indent 4,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,10.042618669836527
data_525,grad10-NbMo measure 13 indent 5,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,10.704542452439757
data_526,grad10-TiZr measure 1 indent 1,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,9.82501789595268
data_527,grad10-TiZr measure 1 indent 2,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,10.409876571988576
data_528,grad10-TiZr measure 1 indent 3,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,10.435080825935998
data_529,grad10-TiZr measure 1 indent 4,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,10.551584179279272
data_530,grad10-TiZr measure 1 indent 5,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,10.17381912243471
data_531,grad10-TiZr measure 2 indent 1,17.58,25.06,29.13,28.23,0.0,19.86,28.82,34.59,16.74,0.0,10.22711757045173
data_533,grad10-TiZr measure 2 indent 3,17.58,25.06,29.13,28.23,0.0,19.86,28.82,34.59,16.74,0.0,10.268560778726457
data_534,grad10-TiZr measure 2 indent 4,17.58,25.06,29.13,28.23,0.0,19.86,28.82,34.59,16.74,0.0,10.292488301013297
data_536,grad10-TiZr measure 3 indent 1,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,10.198125364066492
data_537,grad10-TiZr measure 3 indent 2,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,10.098339386497246
data_538,grad10-TiZr measure 3 indent 3,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,10.10877539690626
data_539,grad10-TiZr measure 3 indent 4,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,9.924883848244306
data_540,grad10-TiZr measure 3 indent 5,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,9.888772448365161
data_541,grad10-TiZr measure 4 indent 1,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,10.217062940556124
data_542,grad10-TiZr measure 4 indent 2,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,9.896945793952055
data_543,grad10-TiZr measure 4 indent 3,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,9.764737898448896
data_544,grad10-TiZr measure 4 indent 4,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,10.202009502485668
data_545,grad10-TiZr measure 4 indent 5,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,9.569518838962736
data_546,grad10-TiZr measure 5 indent 1,21.11,19.95,22.16,36.78,0.0,25.12,24.17,27.73,22.98,0.0,9.195347156999592
data_548,grad10-TiZr measure 5 indent 3,21.11,19.95,22.16,36.78,0.0,25.12,24.17,27.73,22.98,0.0,8.848186208452933
data_550,grad10-TiZr measure 5 indent 5,21.11,19.95,22.16,36.78,0.0,25.12,24.17,27.73,22.98,0.0,9.169316238190396
data_551,grad10-TiZr measure 6 indent 1,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,9.901362333995142
data_552,grad10-TiZr measure 6 indent 2,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,9.838536997230833
data_553,grad10-TiZr measure 6 indent 3,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,9.700088173708039
data_554,grad10-TiZr measure 6 indent 4,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,8.895161800100173
data_555,grad10-TiZr measure 6 indent 5,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,10.186553872970563
data_556,grad10-TiZr measure 7 indent 1,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,9.50206661181835
data_557,grad10-TiZr measure 7 indent 2,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,9.783648530544335
data_558,grad10-TiZr measure 7 indent 3,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,9.046153843252664
data_559,grad10-TiZr measure 7 indent 4,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,9.298125468812215
data_560,grad10-TiZr measure 7 indent 5,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,9.79805480308391
data_561,grad10-TiZr measure 8 indent 1,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,9.216753222362216
data_562,grad10-TiZr measure 8 indent 2,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,9.77208302087353
data_563,grad10-TiZr measure 8 indent 3,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,9.406425136570837
data_564,grad10-TiZr measure 8 indent 4,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,9.51248503170899
data_565,grad10-TiZr measure 8 indent 5,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,8.966175975907701
data_566,grad10-TiZr measure 9 indent 1,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,8.943725146264804
data_567,grad10-TiZr measure 9 indent 2,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,8.990561681768634
data_568,grad10-TiZr measure 9 indent 3,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,9.06061607011213
data_569,grad10-TiZr measure 9 indent 4,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,8.812311497729592
data_571,grad10-TiZr measure 10 indent 1,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,9.5446626613997
data_572,grad10-TiZr measure 10 indent 2,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,8.401173345815431
data_573,grad10-TiZr measure 10 indent 3,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,8.630593123426674
data_574,grad10-TiZr measure 10 indent 4,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,8.759668537289503
data_575,grad10-TiZr measure 10 indent 5,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,9.020533381181345
data_576,grad10-TiZr measure 11 indent 1,26.94,10.21,10.06,52.79,0.0,35.61,13.75,13.98,36.65,0.0,9.19509370319654
data_577,grad10-TiZr measure 11 indent 2,26.94,10.21,10.06,52.79,0.0,35.61,13.75,13.98,36.65,0.0,9.07572610306644
data_579,grad10-TiZr measure 11 indent 4,26.94,10.21,10.06,52.79,0.0,35.61,13.75,13.98,36.65,0.0,8.97014971328806
data_580,grad10-TiZr measure 11 indent 5,26.94,10.21,10.06,52.79,0.0,35.61,13.75,13.98,36.65,0.0,9.018529518953049
data_581,grad10-TiZr measure 12 indent 1,28.0,8.93,8.29,54.78,0.0,37.54,12.2,11.69,38.57,0.0,8.988064774518506
data_582,grad10-TiZr measure 12 indent 2,28.0,8.93,8.29,54.78,0.0,37.54,12.2,11.69,38.57,0.0,9.140576435555522
data_583,grad10-TiZr measure 12 indent 3,28.0,8.93,8.29,54.78,0.0,37.54,12.2,11.69,38.57,0.0,9.122059166911736
data_584,grad10-TiZr measure 12 indent 4,28.0,8.93,8.29,54.78,0.0,37.54,12.2,11.69,38.57,0.0,9.351921987186358
data_586,grad11-Nb measure 1 indent 1,7.63,87.24,0.0,5.12,0.0,7.7,89.59,0.0,2.71,0.0,3.915243500271779
data_587,grad11-Nb measure 1 indent 2,7.63,87.24,0.0,5.12,0.0,7.7,89.59,0.0,2.71,0.0,3.8403412945716306
data_588,grad11-Nb measure 1 indent 3,7.63,87.24,0.0,5.12,0.0,7.7,89.59,0.0,2.71,0.0,3.8891633632134526
data_589,grad11-Nb measure 1 indent 4,7.63,87.24,0.0,5.12,0.0,7.7,89.59,0.0,2.71,0.0,3.873174445150428
data_591,grad11-Nb measure 2 indent 1,8.48,85.24,0.0,6.28,0.0,8.6,88.06,0.0,3.34,0.0,4.044123234652822
data_592,grad11-Nb measure 2 indent 2,8.48,85.24,0.0,6.28,0.0,8.6,88.06,0.0,3.34,0.0,4.000794912964046
data_593,grad11-Nb measure 2 indent 3,8.48,85.24,0.0,6.28,0.0,8.6,88.06,0.0,3.34,0.0,3.9508291975589342
data_595,grad11-Nb measure 2 indent 5,8.48,85.24,0.0,6.28,0.0,8.6,88.06,0.0,3.34,0.0,3.8182186401297225
data_597,grad11-Nb measure 3 indent 2,7.37,85.6,0.0,7.03,0.0,7.5,88.74,0.0,3.76,0.0,4.077709821516436
data_598,grad11-Nb measure 3 indent 3,7.37,85.6,0.0,7.03,0.0,7.5,88.74,0.0,3.76,0.0,3.9153346264860662
data_599,grad11-Nb measure 3 indent 4,7.37,85.6,0.0,7.03,0.0,7.5,88.74,0.0,3.76,0.0,3.9628852057348474
data_600,grad11-Nb measure 3 indent 5,7.37,85.6,0.0,7.03,0.0,7.5,88.74,0.0,3.76,0.0,4.019086732951168
data_601,grad11-Nb measure 4 indent 1,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,4.272500814350771
data_602,grad11-Nb measure 4 indent 2,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,4.679236556329577
data_603,grad11-Nb measure 4 indent 3,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,4.347044311474603
data_604,grad11-Nb measure 4 indent 4,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,4.736998612794284
data_605,grad11-Nb measure 4 indent 5,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,4.5118614935320664
data_606,grad11-Nb measure 5 indent 1,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,4.3397153734423135
data_607,grad11-Nb measure 5 indent 2,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,4.447844947096655
data_608,grad11-Nb measure 5 indent 3,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,4.456297465651329
data_609,grad11-Nb measure 5 indent 4,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,4.608061138243196
data_610,grad11-Nb measure 5 indent 5,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,4.635103416318962
data_611,grad11-Nb measure 6 indent 1,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,4.590682788738743
data_612,grad11-Nb measure 6 indent 2,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,4.821671105877764
data_613,grad11-Nb measure 6 indent 3,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,4.610949159249724
data_614,grad11-Nb measure 6 indent 4,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,4.444721511822714
data_615,grad11-Nb measure 6 indent 5,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,4.3299277294028995
data_616,grad11-Nb measure 7 indent 1,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,4.5404560366430475
data_617,grad11-Nb measure 7 indent 2,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,4.499067253091697
data_618,grad11-Nb measure 7 indent 3,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,4.904639831802145
data_619,grad11-Nb measure 7 indent 4,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,4.7250713980909085
data_620,grad11-Nb measure 7 indent 5,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,4.504088995569006
data_621,grad11-Nb measure 8 indent 1,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,4.865946079851652
data_622,grad11-Nb measure 8 indent 2,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,5.366955189786966
data_623,grad11-Nb measure 8 indent 3,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,5.12745060091069
data_624,grad11-Nb measure 8 indent 4,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,5.077061402888958
data_625,grad11-Nb measure 8 indent 5,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,4.862433807013385
data_626,grad11-Nb measure 9 indent 1,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,4.31793404131503
data_627,grad11-Nb measure 9 indent 2,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,5.070680969400789
data_628,grad11-Nb measure 9 indent 3,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,5.023370555117474
data_629,grad11-Nb measure 9 indent 4,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,4.966747681095317
data_630,grad11-Nb measure 9 indent 5,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,4.769125229487251
data_631,grad11-Nb measure 10 indent 1,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,4.974780722370683
data_632,grad11-Nb measure 10 indent 2,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,4.60475213916783
data_633,grad11-Nb measure 10 indent 3,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,5.244908683362045
data_634,grad11-Nb measure 10 indent 4,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,4.726725169935579
data_635,grad11-Nb measure 10 indent 5,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,4.577247256002185
data_636,grad11-Nb measure 11 indent 1,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,5.468986997061357
data_637,grad11-Nb measure 11 indent 2,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,5.144319870527164
data_638,grad11-Nb measure 11 indent 3,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,4.906634066044322
data_639,grad11-Nb measure 11 indent 4,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,5.35788354577888
data_640,grad11-Nb measure 11 indent 5,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,5.400488080975443
data_641,grad11-Nb measure 12 indent 1,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,5.569183205525395
data_642,grad11-Nb measure 12 indent 2,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,5.272720837708987
data_643,grad11-Nb measure 12 indent 3,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,5.4158163391754
data_644,grad11-Nb measure 12 indent 4,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,5.504847688170106
data_645,grad11-Nb measure 12 indent 5,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,5.550175716180159
data_646,grad11-TiZr measure 1 indent 1,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,5.462364956153218
data_647,grad11-TiZr measure 1 indent 2,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,5.608404446576104
data_648,grad11-TiZr measure 1 indent 3,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,5.231544310676773
data_649,grad11-TiZr measure 1 indent 4,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,5.0299148856427855
data_650,grad11-TiZr measure 1 indent 5,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,5.610821472217901
data_651,grad11-TiZr measure 2 indent 1,18.81,47.7,0.0,33.49,0.0,22.14,57.17,0.0,20.7,0.0,5.6394769317734585
data_655,grad11-TiZr measure 2 indent 5,18.81,47.7,0.0,33.49,0.0,22.14,57.17,0.0,20.7,0.0,5.640079681885834
data_656,grad11-TiZr measure 3 indent 1,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,5.925439674947324
data_657,grad11-TiZr measure 3 indent 2,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,5.483902546064699
data_658,grad11-TiZr measure 3 indent 3,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,5.435305843002843
data_659,grad11-TiZr measure 3 indent 4,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,5.6206472144714335
data_660,grad11-TiZr measure 3 indent 5,19.58,43.7,0.0,36.72,0.0,23.49,53.39,0.0,23.13,0.0,6.143245387773419
data_661,grad11-TiZr measure 4 indent 1,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,6.103051376962428
data_662,grad11-TiZr measure 4 indent 2,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,5.48274391440926
data_663,grad11-TiZr measure 4 indent 3,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,5.605009037926124
data_664,grad11-TiZr measure 4 indent 4,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,5.696610785944264
data_665,grad11-TiZr measure 4 indent 5,20.41,39.97,0.0,39.63,0.0,24.91,49.69,0.0,25.4,0.0,5.942488864138852
data_666,grad11-TiZr measure 5 indent 1,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,5.511530142189567
data_667,grad11-TiZr measure 5 indent 2,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,5.617978560680915
data_668,grad11-TiZr measure 5 indent 3,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,5.644046248054362
data_669,grad11-TiZr measure 5 indent 4,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,5.422426340090864
data_670,grad11-TiZr measure 5 indent 5,21.08,36.47,0.0,42.45,0.0,26.18,46.14,0.0,27.69,0.0,5.326615429078556
data_671,grad11-TiZr measure 6 indent 1,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,5.070324975535708
data_672,grad11-TiZr measure 6 indent 2,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,6.130108995071415
data_673,grad11-TiZr measure 6 indent 3,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,6.010130263276388
data_674,grad11-TiZr measure 6 indent 4,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,5.14416966616077
data_675,grad11-TiZr measure 6 indent 5,21.84,32.66,0.0,45.5,0.0,27.64,42.11,0.0,30.25,0.0,5.765385515552409
data_676,grad11-TiZr measure 7 indent 1,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,6.19528423896982
data_677,grad11-TiZr measure 7 indent 2,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,5.257945299062273
data_678,grad11-TiZr measure 7 indent 3,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,6.245915028555316
data_679,grad11-TiZr measure 7 indent 4,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,5.850782503034625
data_680,grad11-TiZr measure 7 indent 5,22.83,29.07,0.0,48.1,0.0,29.38,38.11,0.0,32.51,0.0,5.2233253599948295
data_681,grad11-TiZr measure 8 indent 1,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,5.658430261385636
data_682,grad11-TiZr measure 8 indent 2,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,5.953093077191093
data_683,grad11-TiZr measure 8 indent 3,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,5.178245366224706
data_684,grad11-TiZr measure 8 indent 4,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,5.276483286572564
data_685,grad11-TiZr measure 8 indent 5,23.62,25.72,0.0,50.66,0.0,30.91,34.27,0.0,34.81,0.0,5.3879815190006015
data_686,grad11-TiZr measure 9 indent 1,24.54,22.13,0.0,53.33,0.0,32.69,30.01,0.0,37.3,0.0,5.15357271691632
data_687,grad11-TiZr measure 9 indent 2,24.54,22.13,0.0,53.33,0.0,32.69,30.01,0.0,37.3,0.0,5.576551012334054
data_689,grad11-TiZr measure 9 indent 4,24.54,22.13,0.0,53.33,0.0,32.69,30.01,0.0,37.3,0.0,5.355117004541118
data_690,grad11-TiZr measure 9 indent 5,24.54,22.13,0.0,53.33,0.0,32.69,30.01,0.0,37.3,0.0,5.654735725137997
data_691,grad11-TiZr measure 10 indent 1,25.42,18.77,0.0,55.81,0.0,34.42,25.89,0.0,39.68,0.0,5.313106737685011
data_693,grad11-TiZr measure 10 indent 3,25.42,18.77,0.0,55.81,0.0,34.42,25.89,0.0,39.68,0.0,5.418036378331912
data_694,grad11-TiZr measure 10 indent 4,25.42,18.77,0.0,55.81,0.0,34.42,25.89,0.0,39.68,0.0,5.413157606620718
data_695,grad11-TiZr measure 10 indent 5,25.42,18.77,0.0,55.81,0.0,34.42,25.89,0.0,39.68,0.0,5.3520758094096506
data_696,grad11-TiZr measure 11 indent 1,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,5.683904245851943
data_697,grad11-TiZr measure 11 indent 2,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,6.294326804281386
data_698,grad11-TiZr measure 11 indent 3,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,5.899052540202851
data_699,grad11-TiZr measure 11 indent 4,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,6.003802207491763
data_700,grad11-TiZr measure 11 indent 5,26.27,15.54,0.0,58.2,0.0,36.16,21.78,0.0,42.06,0.0,5.578471654091395
data_701,grad11-TiZr measure 12 indent 1,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,6.293937350226805
data_702,grad11-TiZr measure 12 indent 2,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,6.310638182173348
data_703,grad11-TiZr measure 12 indent 3,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,5.964155141993347
data_704,grad11-TiZr measure 12 indent 4,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,6.006538728912469
data_705,grad11-TiZr measure 12 indent 5,27.2,12.93,0.0,59.87,0.0,37.89,18.34,0.0,43.78,0.0,6.081329744649146
data_706,grad12-Nb measure 1 indent 1,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,6.758262935444967
data_707,grad12-Nb measure 1 indent 2,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,6.818023873354882
data_708,grad12-Nb measure 1 indent 3,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,6.67761412977537
data_709,grad12-Nb measure 1 indent 4,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,6.767790643185291
data_710,grad12-Nb measure 1 indent 5,5.14,79.71,8.07,2.45,4.63,5.2,82.23,8.59,1.31,2.67,6.671164847294922
data_711,grad12-Nb measure 2 indent 1,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,7.215565427246807
data_712,grad12-Nb measure 2 indent 2,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,7.210441146238126
data_713,grad12-Nb measure 2 indent 3,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,7.350818985165692
data_714,grad12-Nb measure 2 indent 4,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,7.409948359033748
data_715,grad12-Nb measure 2 indent 5,5.47,77.38,8.94,2.45,5.77,5.57,80.21,9.57,1.31,3.34,7.092602639158693
data_717,grad12-Nb measure 3 indent 2,5.72,73.88,9.95,3.05,7.39,5.88,77.37,10.76,1.65,4.33,7.146704503050085
data_718,grad12-Nb measure 3 indent 3,5.72,73.88,9.95,3.05,7.39,5.88,77.37,10.76,1.65,4.33,7.348924975430491
data_719,grad12-Nb measure 3 indent 4,5.72,73.88,9.95,3.05,7.39,5.88,77.37,10.76,1.65,4.33,7.291365027676461
data_720,grad12-Nb measure 3 indent 5,5.72,73.88,9.95,3.05,7.39,5.88,77.37,10.76,1.65,4.33,6.6296306584226015
data_721,grad12-Nb measure 4 indent 1,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,7.424488720318905
data_722,grad12-Nb measure 4 indent 2,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,7.612218179586865
data_723,grad12-Nb measure 4 indent 3,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,7.472050977815938
data_724,grad12-Nb measure 4 indent 4,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,6.988342993701367
data_725,grad12-Nb measure 4 indent 5,6.19,71.14,10.71,3.06,8.9,6.41,75.02,11.66,1.66,5.25,7.687224354084755
