,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa
data_440,grad9-TiZr measure 7 indent 5,21.91,13.32,0.0,46.61,18.17,31.16,19.29,0.0,34.81,14.73,120.62691546061944
data_441,grad9-TiZr measure 8 indent 1,22.99,12.08,0.0,49.22,15.71,32.8,17.55,0.0,36.87,12.77,113.08709632548545
data_442,grad9-TiZr measure 8 indent 2,22.99,12.08,0.0,49.22,15.71,32.8,17.55,0.0,36.87,12.77,115.47782336583882
data_443,grad9-TiZr measure 8 indent 3,22.99,12.08,0.0,49.22,15.71,32.8,17.55,0.0,36.87,12.77,116.67359090105508
data_444,grad9-TiZr measure 8 indent 4,22.99,12.08,0.0,49.22,15.71,32.8,17.55,0.0,36.87,12.77,120.89221965075289
data_445,grad9-TiZr measure 8 indent 5,22.99,12.08,0.0,49.22,15.71,32.8,17.55,0.0,36.87,12.77,119.20150749589084
data_446,grad9-TiZr measure 9 indent 1,24.08,10.61,0.0,51.93,13.38,34.5,15.49,0.0,39.07,10.93,110.7986752631206
data_447,grad9-TiZr measure 9 indent 2,24.08,10.61,0.0,51.93,13.38,34.5,15.49,0.0,39.07,10.93,111.87237219671367
data_448,grad9-TiZr measure 9 indent 3,24.08,10.61,0.0,51.93,13.38,34.5,15.49,0.0,39.07,10.93,111.24288404235836
data_449,grad9-TiZr measure 9 indent 4,24.08,10.61,0.0,51.93,13.38,34.5,15.49,0.0,39.07,10.93,109.12715058797974
data_450,grad9-TiZr measure 9 indent 5,24.08,10.61,0.0,51.93,13.38,34.5,15.49,0.0,39.07,10.93,114.60779582550832
data_451,grad9-TiZr measure 10 indent 1,25.4,9.34,0.0,53.88,11.38,36.45,13.65,0.0,40.6,9.3,102.49907234059935
data_452,grad9-TiZr measure 10 indent 2,25.4,9.34,0.0,53.88,11.38,36.45,13.65,0.0,40.6,9.3,103.34439140914346
data_453,grad9-TiZr measure 10 indent 3,25.4,9.34,0.0,53.88,11.38,36.45,13.65,0.0,40.6,9.3,109.03627010752054
data_454,grad9-TiZr measure 10 indent 4,25.4,9.34,0.0,53.88,11.38,36.45,13.65,0.0,40.6,9.3,107.19719383995326
data_455,grad9-TiZr measure 10 indent 5,25.4,9.34,0.0,53.88,11.38,36.45,13.65,0.0,40.6,9.3,106.51344107770211
data_456,grad9-TiZr measure 11 indent 1,26.5,8.23,0.0,55.94,9.34,38.08,12.04,0.0,42.22,7.65,99.33128912462816
data_457,grad9-TiZr measure 11 indent 2,26.5,8.23,0.0,55.94,9.34,38.08,12.04,0.0,42.22,7.65,101.33966030907379
data_459,grad9-TiZr measure 11 indent 4,26.5,8.23,0.0,55.94,9.34,38.08,12.04,0.0,42.22,7.65,100.57217548290491
data_460,grad9-TiZr measure 11 indent 5,26.5,8.23,0.0,55.94,9.34,38.08,12.04,0.0,42.22,7.65,99.28779451738676
data_461,grad10-NbMo measure 1 indent 1,5.64,39.76,51.88,2.71,0.0,5.52,39.65,53.43,1.39,0.0,221.3133626866844
data_462,grad10-NbMo measure 1 indent 2,5.64,39.76,51.88,2.71,0.0,5.52,39.65,53.43,1.39,0.0,214.575917741013
data_463,grad10-NbMo measure 1 indent 3,5.64,39.76,51.88,2.71,0.0,5.52,39.65,53.43,1.39,0.0,237.40629186457744
data_464,grad10-NbMo measure 1 indent 4,5.64,39.76,51.88,2.71,0.0,5.52,39.65,53.43,1.39,0.0,233.29721325685716
data_465,grad10-NbMo measure 1 indent 5,5.64,39.76,51.88,2.71,0.0,5.52,39.65,53.43,1.39,0.0,223.10390254282632
data_466,grad10-NbMo measure 2 indent 1,6.0,39.09,50.99,3.92,0.0,5.91,39.22,52.84,2.03,0.0,220.64670087413646
data_467,grad10-NbMo measure 2 indent 2,6.0,39.09,50.99,3.92,0.0,5.91,39.22,52.84,2.03,0.0,225.2811970266058
data_468,grad10-NbMo measure 2 indent 3,6.0,39.09,50.99,3.92,0.0,5.91,39.22,52.84,2.03,0.0,223.59709042134506
data_469,grad10-NbMo measure 2 indent 4,6.0,39.09,50.99,3.92,0.0,5.91,39.22,52.84,2.03,0.0,224.5125572172469
data_470,grad10-NbMo measure 2 indent 5,6.0,39.09,50.99,3.92,0.0,5.91,39.22,52.84,2.03,0.0,232.1457966605861
data_471,grad10-NbMo measure 3 indent 1,6.68,38.57,50.15,4.6,0.0,6.61,38.84,52.16,2.39,0.0,222.01554318346143
data_473,grad10-NbMo measure 3 indent 3,6.68,38.57,50.15,4.6,0.0,6.61,38.84,52.16,2.39,0.0,223.41835678159902
data_474,grad10-NbMo measure 3 indent 4,6.68,38.57,50.15,4.6,0.0,6.61,38.84,52.16,2.39,0.0,223.34468632273163
data_475,grad10-NbMo measure 3 indent 5,6.68,38.57,50.15,4.6,0.0,6.61,38.84,52.16,2.39,0.0,223.6379694284567
data_476,grad10-NbMo measure 4 indent 1,7.36,37.72,48.61,6.32,0.0,7.34,38.33,51.01,3.31,0.0,215.81526107810737
data_477,grad10-NbMo measure 4 indent 2,7.36,37.72,48.61,6.32,0.0,7.34,38.33,51.01,3.31,0.0,215.8464856780115
data_478,grad10-NbMo measure 4 indent 3,7.36,37.72,48.61,6.32,0.0,7.34,38.33,51.01,3.31,0.0,217.91317009201518
data_480,grad10-NbMo measure 4 indent 5,7.36,37.72,48.61,6.32,0.0,7.34,38.33,51.01,3.31,0.0,217.89411561158693
data_481,grad10-NbMo measure 5 indent 1,8.11,36.83,47.48,7.57,0.0,8.15,37.69,50.17,3.99,0.0,213.41770177774058
data_482,grad10-NbMo measure 5 indent 2,8.11,36.83,47.48,7.57,0.0,8.15,37.69,50.17,3.99,0.0,223.36664639406413
data_483,grad10-NbMo measure 5 indent 3,8.11,36.83,47.48,7.57,0.0,8.15,37.69,50.17,3.99,0.0,210.54205753623268
data_484,grad10-NbMo measure 5 indent 4,8.11,36.83,47.48,7.57,0.0,8.15,37.69,50.17,3.99,0.0,212.2161391324966
data_485,grad10-NbMo measure 5 indent 5,8.11,36.83,47.48,7.57,0.0,8.15,37.69,50.17,3.99,0.0,221.64594309549582
data_486,grad10-NbMo measure 6 indent 1,8.9,35.98,46.05,9.07,0.0,9.01,37.11,49.05,4.82,0.0,218.51556275280063
data_487,grad10-NbMo measure 6 indent 2,8.9,35.98,46.05,9.07,0.0,9.01,37.11,49.05,4.82,0.0,204.8787185560808
data_488,grad10-NbMo measure 6 indent 3,8.9,35.98,46.05,9.07,0.0,9.01,37.11,49.05,4.82,0.0,213.38143304192326
data_489,grad10-NbMo measure 6 indent 4,8.9,35.98,46.05,9.07,0.0,9.01,37.11,49.05,4.82,0.0,208.65835589619144
data_490,grad10-NbMo measure 6 indent 5,8.9,35.98,46.05,9.07,0.0,9.01,37.11,49.05,4.82,0.0,226.53787531496278
data_491,grad10-NbMo measure 7 indent 1,9.82,34.86,44.49,10.83,0.0,10.04,36.3,47.85,5.81,0.0,219.34110981544933
data_492,grad10-NbMo measure 7 indent 2,9.82,34.86,44.49,10.83,0.0,10.04,36.3,47.85,5.81,0.0,208.87086200607604
data_493,grad10-NbMo measure 7 indent 3,9.82,34.86,44.49,10.83,0.0,10.04,36.3,47.85,5.81,0.0,202.37702859726986
data_495,grad10-NbMo measure 7 indent 5,9.82,34.86,44.49,10.83,0.0,10.04,36.3,47.85,5.81,0.0,202.40027373124212
data_496,grad10-NbMo measure 8 indent 1,10.64,33.93,42.75,12.68,0.0,10.99,35.69,46.44,6.88,0.0,202.45297493610116
data_497,grad10-NbMo measure 8 indent 2,10.64,33.93,42.75,12.68,0.0,10.99,35.69,46.44,6.88,0.0,205.3513307474699
data_498,grad10-NbMo measure 8 indent 3,10.64,33.93,42.75,12.68,0.0,10.99,35.69,46.44,6.88,0.0,202.36909799735926
data_499,grad10-NbMo measure 8 indent 4,10.64,33.93,42.75,12.68,0.0,10.99,35.69,46.44,6.88,0.0,210.01788614823056
data_500,grad10-NbMo measure 8 indent 5,10.64,33.93,42.75,12.68,0.0,10.99,35.69,46.44,6.88,0.0,204.53925825253052
data_502,grad10-NbMo measure 9 indent 2,11.48,32.76,41.06,14.71,0.0,11.99,34.84,45.1,8.07,0.0,194.97351999674112
data_503,grad10-NbMo measure 9 indent 3,11.48,32.76,41.06,14.71,0.0,11.99,34.84,45.1,8.07,0.0,196.88294035743945
data_504,grad10-NbMo measure 9 indent 4,11.48,32.76,41.06,14.71,0.0,11.99,34.84,45.1,8.07,0.0,194.19501392098985
data_505,grad10-NbMo measure 9 indent 5,11.48,32.76,41.06,14.71,0.0,11.99,34.84,45.1,8.07,0.0,200.01640222919556
data_506,grad10-NbMo measure 10 indent 1,12.53,31.65,39.18,16.64,0.0,13.22,34.04,43.51,9.22,0.0,196.67845651853767
data_508,grad10-NbMo measure 10 indent 3,12.53,31.65,39.18,16.64,0.0,13.22,34.04,43.51,9.22,0.0,197.30211403272233
data_509,grad10-NbMo measure 10 indent 4,12.53,31.65,39.18,16.64,0.0,13.22,34.04,43.51,9.22,0.0,198.47961748549451
data_510,grad10-NbMo measure 10 indent 5,12.53,31.65,39.18,16.64,0.0,13.22,34.04,43.51,9.22,0.0,198.13107311690194
data_511,grad10-NbMo measure 11 indent 1,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,188.66595951476552
data_512,grad10-NbMo measure 11 indent 2,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,194.72335627177787
data_513,grad10-NbMo measure 11 indent 3,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,193.17013965858845
data_514,grad10-NbMo measure 11 indent 4,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,190.11246713221374
data_515,grad10-NbMo measure 11 indent 5,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,197.33399936183181
data_516,grad10-NbMo measure 12 indent 1,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,191.94323982159213
data_517,grad10-NbMo measure 12 indent 2,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,192.88708093981367
data_518,grad10-NbMo measure 12 indent 3,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,184.7313633578645
data_519,grad10-NbMo measure 12 indent 4,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,196.47735921407207
data_520,grad10-NbMo measure 12 indent 5,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,189.69451711186463
data_521,grad10-NbMo measure 13 indent 1,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,175.86841754872444
data_522,grad10-NbMo measure 13 indent 2,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,183.69741871245148
data_523,grad10-NbMo measure 13 indent 3,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,179.52360818484067
data_524,grad10-NbMo measure 13 indent 4,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,178.81436831991087
data_525,grad10-NbMo measure 13 indent 5,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,186.6178228331911
data_526,grad10-TiZr measure 1 indent 1,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,162.01915402312866
data_527,grad10-TiZr measure 1 indent 2,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,165.09386136988562
data_528,grad10-TiZr measure 1 indent 3,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,159.03616164534102
data_529,grad10-TiZr measure 1 indent 4,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,161.79300898067058
data_530,grad10-TiZr measure 1 indent 5,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,161.12433207229944
data_531,grad10-TiZr measure 2 indent 1,17.58,25.06,29.13,28.23,0.0,19.86,28.82,34.59,16.74,0.0,169.16343729847188
data_532,grad10-TiZr measure 2 indent 2,17.58,25.06,29.13,28.23,0.0,19.86,28.82,34.59,16.74,0.0,160.94235493391196
data_533,grad10-TiZr measure 2 indent 3,17.58,25.06,29.13,28.23,0.0,19.86,28.82,34.59,16.74,0.0,170.31882783263757
data_534,grad10-TiZr measure 2 indent 4,17.58,25.06,29.13,28.23,0.0,19.86,28.82,34.59,16.74,0.0,162.7308976208936
data_535,grad10-TiZr measure 2 indent 5,17.58,25.06,29.13,28.23,0.0,19.86,28.82,34.59,16.74,0.0,170.01750763911974
data_536,grad10-TiZr measure 3 indent 1,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,164.29436708193947
data_537,grad10-TiZr measure 3 indent 2,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,158.5495601409506
data_538,grad10-TiZr measure 3 indent 3,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,167.61771270980242
data_539,grad10-TiZr measure 3 indent 4,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,165.70433881694214
data_540,grad10-TiZr measure 3 indent 5,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,169.77069280795587
data_541,grad10-TiZr measure 4 indent 1,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,170.281202031024
data_542,grad10-TiZr measure 4 indent 2,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,165.93472406687016
data_543,grad10-TiZr measure 4 indent 3,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,163.93239932816832
data_544,grad10-TiZr measure 4 indent 4,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,170.41310201329134
data_545,grad10-TiZr measure 4 indent 5,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,158.04083983559923
data_546,grad10-TiZr measure 5 indent 1,21.11,19.95,22.16,36.78,0.0,25.12,24.17,27.73,22.98,0.0,147.9494810571714
data_547,grad10-TiZr measure 5 indent 2,21.11,19.95,22.16,36.78,0.0,25.12,24.17,27.73,22.98,0.0,155.30579577955876
data_548,grad10-TiZr measure 5 indent 3,21.11,19.95,22.16,36.78,0.0,25.12,24.17,27.73,22.98,0.0,158.46492500178067
data_550,grad10-TiZr measure 5 indent 5,21.11,19.95,22.16,36.78,0.0,25.12,24.17,27.73,22.98,0.0,155.44284228157684
data_551,grad10-TiZr measure 6 indent 1,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,161.25514007829292
data_552,grad10-TiZr measure 6 indent 2,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,161.6910125996436
data_553,grad10-TiZr measure 6 indent 3,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,154.61888112047944
data_554,grad10-TiZr measure 6 indent 4,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,153.23616349006335
data_555,grad10-TiZr measure 6 indent 5,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,158.09239899002785
data_556,grad10-TiZr measure 7 indent 1,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,155.21165064106322
data_557,grad10-TiZr measure 7 indent 2,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,156.89287280954497
data_558,grad10-TiZr measure 7 indent 3,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,156.25262414701982
data_559,grad10-TiZr measure 7 indent 4,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,154.794246260846
data_560,grad10-TiZr measure 7 indent 5,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,158.2277447131156
data_561,grad10-TiZr measure 8 indent 1,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,150.09736539178365
data_562,grad10-TiZr measure 8 indent 2,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,157.09286642486276
data_563,grad10-TiZr measure 8 indent 3,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,151.70409933557025
data_564,grad10-TiZr measure 8 indent 4,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,153.46317565628433
data_565,grad10-TiZr measure 8 indent 5,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,152.32008558114634
data_566,grad10-TiZr measure 9 indent 1,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,151.71021150945268
data_567,grad10-TiZr measure 9 indent 2,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,155.99382476068837
data_568,grad10-TiZr measure 9 indent 3,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,158.7248712724787
data_569,grad10-TiZr measure 9 indent 4,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,151.90189239907292
data_570,grad10-TiZr measure 9 indent 5,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,157.85638671790957
data_571,grad10-TiZr measure 10 indent 1,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,145.74894050621427
data_572,grad10-TiZr measure 10 indent 2,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,141.17234332069242
data_573,grad10-TiZr measure 10 indent 3,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,147.37507372142267
data_574,grad10-TiZr measure 10 indent 4,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,144.1435656348549
data_575,grad10-TiZr measure 10 indent 5,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,145.71831717279642
data_576,grad10-TiZr measure 11 indent 1,26.94,10.21,10.06,52.79,0.0,35.61,13.75,13.98,36.65,0.0,150.92626122139228
data_577,grad10-TiZr measure 11 indent 2,26.94,10.21,10.06,52.79,0.0,35.61,13.75,13.98,36.65,0.0,136.91921083231608
data_578,grad10-TiZr measure 11 indent 3,26.94,10.21,10.06,52.79,0.0,35.61,13.75,13.98,36.65,0.0,136.7381447699608
data_579,grad10-TiZr measure 11 indent 4,26.94,10.21,10.06,52.79,0.0,35.61,13.75,13.98,36.65,0.0,142.93401441177804
data_580,grad10-TiZr measure 11 indent 5,26.94,10.21,10.06,52.79,0.0,35.61,13.75,13.98,36.65,0.0,150.0626776005627
data_581,grad10-TiZr measure 12 indent 1,28.0,8.93,8.29,54.78,0.0,37.54,12.2,11.69,38.57,0.0,143.51441465498573
data_582,grad10-TiZr measure 12 indent 2,28.0,8.93,8.29,54.78,0.0,37.54,12.2,11.69,38.57,0.0,147.58723888243225
data_583,grad10-TiZr measure 12 indent 3,28.0,8.93,8.29,54.78,0.0,37.54,12.2,11.69,38.57,0.0,142.33793230404407
data_584,grad10-TiZr measure 12 indent 4,28.0,8.93,8.29,54.78,0.0,37.54,12.2,11.69,38.57,0.0,145.26047505642515
data_586,grad11-Nb measure 1 indent 1,7.63,87.24,0.0,5.12,0.0,7.7,89.59,0.0,2.71,0.0,141.7281092969723
data_587,grad11-Nb measure 1 indent 2,7.63,87.24,0.0,5.12,0.0,7.7,89.59,0.0,2.71,0.0,126.6465603436719
data_588,grad11-Nb measure 1 indent 3,7.63,87.24,0.0,5.12,0.0,7.7,89.59,0.0,2.71,0.0,124.78593390647919
data_589,grad11-Nb measure 1 indent 4,7.63,87.24,0.0,5.12,0.0,7.7,89.59,0.0,2.71,0.0,131.14811794595573
data_590,grad11-Nb measure 1 indent 5,7.63,87.24,0.0,5.12,0.0,7.7,89.59,0.0,2.71,0.0,135.83654181832804
data_591,grad11-Nb measure 2 indent 1,8.48,85.24,0.0,6.28,0.0,8.6,88.06,0.0,3.34,0.0,125.82815651790908
data_592,grad11-Nb measure 2 indent 2,8.48,85.24,0.0,6.28,0.0,8.6,88.06,0.0,3.34,0.0,138.2724176792803
data_593,grad11-Nb measure 2 indent 3,8.48,85.24,0.0,6.28,0.0,8.6,88.06,0.0,3.34,0.0,138.22081679368785
data_594,grad11-Nb measure 2 indent 4,8.48,85.24,0.0,6.28,0.0,8.6,88.06,0.0,3.34,0.0,137.45401626788518
data_595,grad11-Nb measure 2 indent 5,8.48,85.24,0.0,6.28,0.0,8.6,88.06,0.0,3.34,0.0,132.94913658857547
data_597,grad11-Nb measure 3 indent 2,7.37,85.6,0.0,7.03,0.0,7.5,88.74,0.0,3.76,0.0,133.07989018115197
data_598,grad11-Nb measure 3 indent 3,7.37,85.6,0.0,7.03,0.0,7.5,88.74,0.0,3.76,0.0,136.27650988399787
data_599,grad11-Nb measure 3 indent 4,7.37,85.6,0.0,7.03,0.0,7.5,88.74,0.0,3.76,0.0,145.38994079423458
data_600,grad11-Nb measure 3 indent 5,7.37,85.6,0.0,7.03,0.0,7.5,88.74,0.0,3.76,0.0,142.31323234863802
data_601,grad11-Nb measure 4 indent 1,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,134.64517114202772
data_602,grad11-Nb measure 4 indent 2,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,142.36249366805288
data_603,grad11-Nb measure 4 indent 3,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,131.83937338529296
data_604,grad11-Nb measure 4 indent 4,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,136.4277890479155
data_605,grad11-Nb measure 4 indent 5,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,135.78457726769818
data_606,grad11-Nb measure 5 indent 1,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,125.56511501611203
data_607,grad11-Nb measure 5 indent 2,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,131.118405119563
data_608,grad11-Nb measure 5 indent 3,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,133.0835812427365
data_609,grad11-Nb measure 5 indent 4,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,137.67186232916328
data_610,grad11-Nb measure 5 indent 5,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,129.97364301165993
data_611,grad11-Nb measure 6 indent 1,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,134.65718257970738
data_613,grad11-Nb measure 6 indent 3,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,134.80336036007196
data_615,grad11-Nb measure 6 indent 5,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,134.64469475079215
data_616,grad11-Nb measure 7 indent 1,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,133.7781961514774
data_617,grad11-Nb measure 7 indent 2,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,130.8524744344669
data_618,grad11-Nb measure 7 indent 3,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,133.978941727579
data_619,grad11-Nb measure 7 indent 4,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,134.78659757165516
data_620,grad11-Nb measure 7 indent 5,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,128.23479736613814
data_621,grad11-Nb measure 8 indent 1,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,136.17280859505573
data_622,grad11-Nb measure 8 indent 2,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,150.21577452589048
data_623,grad11-Nb measure 8 indent 3,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,145.51510242008993
data_624,grad11-Nb measure 8 indent 4,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,144.71698654874925
data_625,grad11-Nb measure 8 indent 5,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,139.50233609821916
data_626,grad11-Nb measure 9 indent 1,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,128.4360641426936
data_627,grad11-Nb measure 9 indent 2,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,151.4695030960803
data_628,grad11-Nb measure 9 indent 3,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,130.93617087246264
data_629,grad11-Nb measure 9 indent 4,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,138.34396995597302
data_630,grad11-Nb measure 9 indent 5,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,139.3618369127709
data_631,grad11-Nb measure 10 indent 1,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,135.43787334999246
data_632,grad11-Nb measure 10 indent 2,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,131.8395737400216
data_633,grad11-Nb measure 10 indent 3,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,135.11542392857893
data_634,grad11-Nb measure 10 indent 4,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,132.46596676625825
data_635,grad11-Nb measure 10 indent 5,15.61,60.72,0.0,23.66,0.0,17.37,68.8,0.0,13.82,0.0,126.03592662586342
data_636,grad11-Nb measure 11 indent 1,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,136.36405786614387
data_637,grad11-Nb measure 11 indent 2,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,131.50099174212318
data_638,grad11-Nb measure 11 indent 3,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,128.22597892983796
data_639,grad11-Nb measure 11 indent 4,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,139.17160056841456
data_640,grad11-Nb measure 11 indent 5,16.47,57.0,0.0,26.53,0.0,18.62,65.63,0.0,15.75,0.0,131.10238622684474
data_641,grad11-Nb measure 12 indent 1,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,140.3347899812325
data_642,grad11-Nb measure 12 indent 2,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,135.64058397238432
data_643,grad11-Nb measure 12 indent 3,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,131.53581868133458
data_644,grad11-Nb measure 12 indent 4,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,136.41744483781514
data_645,grad11-Nb measure 12 indent 5,17.32,53.09,0.0,29.59,0.0,19.92,62.21,0.0,17.87,0.0,133.927994317487
data_646,grad11-TiZr measure 1 indent 1,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,128.07812588171262
data_647,grad11-TiZr measure 1 indent 2,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,135.90899563673582
data_648,grad11-TiZr measure 1 indent 3,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,136.7231825891143
data_649,grad11-TiZr measure 1 indent 4,17.84,51.26,0.0,30.9,0.0,20.68,60.51,0.0,18.81,0.0,123.48991816244255
