,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa
data_48,grad6-CrMo measure 10 indent 3,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,260.5639790287878
data_49,grad6-CrMo measure 10 indent 4,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,263.22032293322184
data_50,grad6-CrMo measure 10 indent 5,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,259.6487753771353
data_51,grad6-CrMo measure 11 indent 1,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,263.2405332597553
data_52,grad6-CrMo measure 11 indent 2,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,255.35622876746342
data_53,grad6-CrMo measure 11 indent 3,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,268.6042221143048
data_54,grad6-CrMo measure 11 indent 4,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,258.59374684484953
data_56,grad6-NbTi measure 1 indent 1,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,274.28907564984263
data_57,grad6-NbTi measure 1 indent 2,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,250.33517040251667
data_58,grad6-NbTi measure 1 indent 3,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,270.86392791595205
data_59,grad6-NbTi measure 1 indent 4,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,265.8310672791903
data_60,grad6-NbTi measure 1 indent 5,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,262.9209941582393
data_61,grad6-NbTi measure 2 indent 1,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,246.17827931411315
data_62,grad6-NbTi measure 2 indent 2,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,260.36792041016747
data_63,grad6-NbTi measure 2 indent 3,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,242.92143642658584
data_64,grad6-NbTi measure 2 indent 4,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,249.58775052428763
data_65,grad6-NbTi measure 2 indent 5,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,254.45587723502774
data_66,grad6-NbTi measure 3 indent 1,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,243.1359783329578
data_67,grad6-NbTi measure 3 indent 2,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,239.106145319158
data_68,grad6-NbTi measure 3 indent 3,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,255.0973286544753
data_69,grad6-NbTi measure 3 indent 4,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,231.32733567398694
data_70,grad6-NbTi measure 3 indent 5,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,234.70024159899273
data_71,grad6-NbTi measure 4 indent 1,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,228.0803867976303
data_72,grad6-NbTi measure 4 indent 2,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,231.92852872453736
data_73,grad6-NbTi measure 4 indent 3,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,235.34645561040836
data_74,grad6-NbTi measure 4 indent 4,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,225.20700254087902
data_76,grad6-NbTi measure 5 indent 1,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,220.80176775241398
data_77,grad6-NbTi measure 5 indent 2,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,205.1845694865182
data_78,grad6-NbTi measure 5 indent 3,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,213.87523687060138
data_79,grad6-NbTi measure 5 indent 4,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,217.93818866546837
data_80,grad6-NbTi measure 5 indent 5,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,206.93575278080448
data_81,grad6-NbTi measure 6 indent 1,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,220.7862875181521
data_82,grad6-NbTi measure 6 indent 2,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,206.74650153400012
data_83,grad6-NbTi measure 6 indent 3,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,199.2649427507511
