,index,Zr,Nb,Mo,Ti,Cr,RF - Phase prediction from EBSD class,RF - Phase prediction from XRD class,RF - CI prediction,RF - IQ prediction,RF - Young Modulus prediction (GPa),RF - Hardness prediction (GPa),C,x,deltaH,E2/H
0,compo_86551,8.0,0.0,30.0,0.0,62.0,1.0,1,0.0966868852853896,47057.06610587302,250.3478241522677,21.16736022253148,0.9021681276994282,1.0866018586873143,0.5340844738935816,2960.880922273044
1,compo_66966,6.0,0.0,30.0,0.0,64.0,1.0,1,0.12156229973480752,47471.837142539676,258.76833559939257,21.14014392588369,0.9287658604058924,1.101586724038773,0.5426946604082806,3167.4832368049156
2,compo_46156,4.0,0.0,30.0,0.0,66.0,1.0,1,0.1219129652935377,47376.25775920634,261.011291115971,20.964517451501447,0.9431535597485836,1.1096807766886232,0.5473469244623236,3249.628532954715
3,compo_24071,2.0,0.0,30.0,0.0,68.0,1.0,1,0.12615636209901387,47792.275309206336,264.4787895817984,20.870344750993805,0.9577661330305224,1.1179919201769195,0.5519653156971039,3351.599169693753
4,compo_660,0.0,0.0,30.0,0.0,70.0,1.0,1,0.2743842612244444,58404.35017833332,265.00366636109453,20.753938791042465,0.9645449489258084,1.1218295829826308,0.5541305363576865,3383.788681844465
5,compo_46190,4.0,0.0,32.0,0.0,64.0,1.0,1,0.14525351350451654,47744.053409206346,265.22736504514467,20.69645292452605,0.9678040043716652,1.1236778487314012,0.5551684273531232,3398.918424588031
6,compo_24106,2.0,0.0,32.0,0.0,66.0,1.0,1,0.15088744868665946,48160.070959206336,268.534568174907,20.602280224018408,0.9820646385258136,1.1318719429016273,0.5595868072244942,3500.137534330596
7,compo_24140,2.0,0.0,34.0,0.0,64.0,1.0,1,0.14258182220795573,47489.640921111124,264.1661485049096,20.59143042703465,0.9693262923716274,1.1245042166376993,0.5556980989061664,3388.9706819152448
8,compo_66999,6.0,0.0,32.0,0.0,62.0,1.0,1,0.14788485155531025,48130.16193063491,263.3900590035793,20.506737996706004,0.9708032571860652,1.1253148363908556,0.5562015054597766,3383.001391691482
9,compo_696,0.0,0.0,32.0,0.0,68.0,1.0,1,0.2806125414818517,59251.69281166666,268.7231692007056,20.485874264067064,0.9879641087196692,1.1352390253682554,0.5614466814224023,3524.972414378901
10,compo_765,0.0,0.0,36.0,0.0,64.0,1.0,1,0.2886141363617458,59581.05405214285,287.3685241083879,20.457424311703342,1.0447954941484117,1.1686556938823698,0.5782997486529312,4036.708990827849
11,compo_24173,2.0,0.0,36.0,0.0,62.0,1.0,1,0.14339023471906687,48191.461449682516,287.06279313672235,20.25252027761968,1.053668339311277,1.1738527086866015,0.5809995005942681,4068.878641959414
12,compo_798,0.0,0.0,38.0,0.0,62.0,1.0,1,0.2822839912869984,59705.52708547617,289.5416369558354,20.104042743536226,1.068110181758607,1.1824456669479568,0.5852440049681944,4170.024934811625
13,compo_86644,8.0,0.0,36.0,0.0,56.00000000000001,1.0,1,0.08910012446036322,45726.70813777777,273.4981609674913,19.893340364347512,1.030350510140951,1.1598076517199534,0.5744431515157435,3760.1148265002907
14,compo_86673,8.0,0.0,38.0,0.0,54.0,1.0,1,0.08447460887327328,47046.037187777765,275.7691161629722,19.852137589595745,1.039243261393732,1.1650612472495372,0.5770711724369879,3830.751478831325
15,compo_86701,8.0,0.0,40.0,0.0,52.0,1.0,1,0.08167684431242671,46959.842507777765,275.7691161629722,19.70332643156329,1.0464852870287995,1.1692993861044103,0.579273078744676,3859.683576448418
16,compo_67092,6.0,0.0,38.0,0.0,56.00000000000001,1.0,1,0.11696851339152715,47511.68519968253,281.04953828439943,19.668365288524413,1.0641932491263428,1.179880086023747,0.5844057576869308,4016.0349785632898
17,compo_67062,6.0,0.0,36.0,0.0,57.99999999999999,1.0,1,0.11506633202009865,47055.643422063484,278.50033433606825,19.63658623621205,1.0580576705341878,1.1761832835820711,0.5826624015764514,3949.8941054361076
18,compo_67121,6.0,0.0,40.0,0.0,54.0,1.0,1,0.11169002929253248,47511.68519968253,281.5051020386545,19.627162513772646,1.067601562151449,1.181909621741303,0.5854091727725089,4037.523122264153
19,compo_46255,4.0,0.0,36.0,0.0,60.0,1.0,1,0.1358997952747018,47775.44389968252,277.56940412036585,19.61482230159564,1.0563052813433074,1.1751231626046774,0.5821712398914863,3927.885398047552
20,compo_46345,4.0,0.0,42.0,0.0,54.0,1.0,1,0.12421315434840545,48057.97301492064,280.20896928428846,19.613469065925685,1.0643693075704972,1.1799593545239575,0.5844917610071884,4003.2217759871132
21,compo_46316,4.0,0.0,40.0,0.0,56.00000000000001,1.0,1,0.12772088241247956,47791.85752492063,279.79343328177885,19.590217250740775,1.0642635550195316,1.179884573958259,0.5844764442628779,3996.094801074502
22,compo_46286,4.0,0.0,38.0,0.0,57.99999999999999,1.0,1,0.121891332156924,48356.55487730158,278.5196409380489,19.586236208201715,1.0606013923080395,1.1776839980602634,0.5834269933642287,3960.5971031726867
23,compo_86728,8.0,0.0,42.0,0.0,50.0,1.0,1,0.08216670299512514,47917.81467611111,275.23251088576353,19.5802892875935,1.0508859763887566,1.1718657463749236,0.5806272789695037,3868.836355573186
24,compo_336,0.0,0.0,14.000000000000002,0.0,86.0,1.0,1,0.16530050928328038,51462.007847698405,266.72071425967107,19.568391300507475,1.0252229666523716,1.156619183185338,0.5731372726188012,3635.451597564088
25,compo_23711,2.0,0.0,12.0,0.0,86.0,1.0,1,0.06085817214145501,41197.80913111111,266.1432158669826,19.56559835440639,1.0235613015387393,1.1556369348686664,0.5726487326601243,3620.242533296565
26,compo_24266,2.0,0.0,42.0,0.0,56.00000000000001,1.0,1,0.13443186826684464,48473.99056492064,289.96261502248086,19.54739162889558,1.0968326779935764,1.1995783648692009,0.5937521131423621,4301.255108962374
27,compo_24205,2.0,0.0,38.0,0.0,60.0,1.0,1,0.1422573546235113,49318.84102968253,289.2359059841699,19.544690251604948,1.09481553051988,1.19834755714791,0.5931866184403451,4280.313897715207
28,compo_24236,2.0,0.0,40.0,0.0,57.99999999999999,1.0,1,0.12835012033906687,48772.57242730158,288.68242836951833,19.542689888321075,1.09327384763437,1.1974076591816374,0.5927538966069664,4264.38453076644
29,compo_24295,2.0,0.0,44.0,0.0,54.0,1.0,1,0.1286929147551515,48473.99056492064,293.84913916345545,19.535980900341944,1.1088601523679669,1.2069274949037516,0.5971278498622042,4419.912008902121
30,compo_67149,6.0,0.0,42.0,0.0,52.0,1.0,1,0.109104108661051,47691.60600968252,281.5051020386545,19.49585131842109,1.0741271244718076,1.185778812393174,0.5873587667243352,4064.717214934686
31,compo_46373,4.0,0.0,44.0,0.0,52.0,1.0,1,0.12147661665025733,47971.77833492064,283.1657748359378,19.482157870574135,1.0798173502129365,1.1892109131180908,0.5889871818268114,4115.707129113519
32,compo_920,0.0,0.0,46.0,0.0,54.0,1.0,1,0.26232667192160164,56628.838783571424,294.4355089390516,19.37539917251852,1.1187215117980296,1.2129101734320284,0.5999794000510282,4474.3475038780125
33,compo_67176,6.0,0.0,44.0,0.0,50.0,1.0,1,0.1091591615766066,48252.06093801586,283.90280403616026,19.372814174451307,1.0875274636997376,1.1938315628641152,0.5912440780856509,4160.510776275862
34,compo_46400,4.0,0.0,46.0,0.0,50.0,1.0,1,0.12141108805914624,48532.23326325396,283.0418184292583,19.35912072660436,1.085622965685385,1.1926689810716264,0.5907141924465994,4138.239133435748
35,compo_891,0.0,0.0,44.0,0.0,56.00000000000001,1.0,1,0.2672235374993793,58224.78422642857,294.115992271801,19.35372128853518,1.1188872672213654,1.2130017665386317,0.6000399449280372,4469.642588129538
36,compo_24323,2.0,0.0,46.0,0.0,52.0,1.0,1,0.1258547964514478,48387.79588492063,294.00665555072806,19.352455505639753,1.1186302252671299,1.2128428229777568,0.5999694694446011,4466.612181742717
37,compo_830,0.0,0.0,40.0,0.0,60.0,1.0,1,0.2829107875092206,59705.52708547617,289.5416369558354,19.347403654944227,1.1056830146998284,1.2048894730096946,0.5963661376647641,4333.106448091339
38,compo_861,0.0,0.0,42.0,0.0,57.99999999999999,1.0,1,0.28149301485736883,59147.80795976192,288.9881593411837,19.347403654944227,1.1040365294857863,1.2038817476814914,0.5959054729167811,4316.5562536895395
39,compo_86754,8.0,0.0,44.0,0.0,48.0,1.0,1,0.08100632684464894,47787.65847611112,278.19558465377355,19.29649303297166,1.0740664454002766,1.1856457016214828,0.5874709073325696,4010.717553112623
40,compo_24350,2.0,0.0,48.0,0.0,50.0,1.0,1,0.13575950578264548,51218.525506428574,292.810808988338,19.229418361669964,1.1213973191423037,1.2144885614131689,0.6008193591327201,4458.698034845766
41,compo_948,0.0,0.0,48.0,0.0,52.0,1.0,1,0.2557145991882683,56516.96242690476,293.52113517061366,19.191606748177122,1.1254385675827718,1.2169648233831951,0.6019633375575077,4489.184148170862
42,compo_67202,6.0,0.0,46.0,0.0,48.0,1.0,1,0.10835307485279706,48121.90473801586,284.40421351750194,19.101720281907266,1.1028241397170204,1.2030210564409571,0.5957286888620112,4234.474983026637
43,compo_86779,8.0,0.0,46.0,0.0,46.0,1.0,1,0.08100632684464894,48491.69055801587,279.24075219611456,19.091157532677336,1.0876663845905217,1.1937794064651543,0.5914677748725501,4084.3724406749798
44,compo_46426,4.0,0.0,48.0,0.0,48.0,1.0,1,0.1330395405171693,50672.35175642859,282.03325963947566,19.090716952824536,1.0962031084958197,1.1989732693779445,0.5938766248595809,4166.567433765198
