Target 1,gradient center,Target 2
CD,ABCDE,ABE
CE,ABCDE,ABD
DE,ABCDE,ABC
BC,ABCDE,ADE
AE,ABCDE,BCD
E,ABE,AB
AC,ABCE,BE
C,ACD,AD
E,BDE,BD
B,ABCE,ACE
D,BCDE,BCE
A,ACDE,CDE
D,ABCD,ABC
E,ABDE,ABD
